"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",0.778,0.778,0.737,0.719,0.737,0.719
"PC50","InCon",0.864,0.863,0.826,0.802,0.826,0.802
"PC50","InCon",0.773,0.773,0.664,0.619,0.664,0.619
"MC","Con",0.626,0.626,0.579,0.551,0.579,0.551
"MC","Con",0.798,0.798,0.741,0.714,0.741,0.714
"MC","Con",0.712,0.712,0.663,0.631,0.663,0.631
"MC","Con",0.764,0.764,0.714,0.671,0.714,0.671
"MI","InCon",0.768,0.768,0.726,0.705,0.726,0.705
"MI","Con",0.725,0.725,0.686,0.667,0.686,0.667
"MC","Con",0.684,0.684,0.641,0.613,0.641,0.613
"PC50","Con",0.805,0.805,0.753,0.726,0.753,0.726
"MI","Con",0.775,0.775,0.729,0.703,0.729,0.703
"PC50","Con",0.652,0.652,0.613,0.594,0.613,0.594
"MI","InCon",1.043,1.043,1.001,0.976,1.001,0.976
"MI","InCon",0.756,0.756,0.718,0.7,0.718,0.7
"MI","InCon",1.243,1.243,1.205,1.186,1.205,1.186
"MC","Con",0.884,0.884,0.825,0.791,0.825,0.791
"MI","InCon",1.122,1.122,0.915,0.894,0.915,0.894
"MC","Con",0.81,0.81,0.764,0.742,0.764,0.742
"MI","Con",0.672,0.672,0.625,0.6,0.625,0.6
"MI","InCon",1.117,1.117,1.082,1.065,1.082,1.065
"PC50","Con",0.925,0.925,0.879,0.849,0.879,0.849
"PC50","Con",0.63,0.63,0.593,0.575,0.593,0.575
"MC","Con",0.537,0.537,0.491,0.469,0.491,0.469
"MC","Con",0.507,0.507,0.455,0.425,0.455,0.425
"MI","Con",0.818,0.818,0.6,0.567,0.6,0.567
"MI","InCon",0.681,0.681,0.643,0.623,0.643,0.623
"MC","Con",0.658,0.658,0.613,0.588,0.613,0.588
"MI","InCon",0.806,0.806,0.765,0.737,0.765,0.737
"MC","Con",0.643,0.643,0.599,0.555,0.599,0.555
"MC","Con",0.697,0.697,0.654,0.617,0.654,0.617
"PC50","Con",0.682,0.682,0.631,0.6,0.631,0.6
"MI","InCon",0.774,0.774,0.733,0.71,0.733,0.71
"MC","Con",0.673,0.673,0.631,0.612,0.631,0.612
"MC","Con",0.686,0.686,0.646,0.627,0.646,0.627
"MI","InCon",0.866,0.866,0.824,0.805,0.824,0.805
"MI","Con",0.623,0.623,0.577,0.555,0.577,0.555
"MI","InCon",0.73,0.73,0.696,0.683,0.696,0.683
"MC","Con",0.892,0.892,0.847,0.816,0.847,0.816
"MC","Con",0.714,0.714,0.668,0.642,0.668,0.642
"MC","Con",0.852,0.852,0.811,0.787,0.811,0.787
"MC","Con",0.783,0.783,0.734,0.705,0.734,0.705
"MI","InCon",0.959,0.959,0.732,0.7,0.732,0.7
"MC","Con",0.707,0.707,0.667,0.64,0.667,0.64
"MI","InCon",1.077,1.077,1.035,1.016,1.035,1.016
"PC50","InCon",0.85,0.85,0.807,0.781,0.807,0.781
"MC","Con",0.74,0.74,0.7,0.668,0.7,0.668
"MC","Con",0.665,0.665,0.628,0.612,0.628,0.612
"MC","Con",0.757,0.757,0.717,0.7,0.717,0.7
"MI","InCon",0.755,0.755,0.687,0.664,0.687,0.664
"MI","Con",0.714,0.714,0.636,0.614,0.636,0.614
"MI","InCon",0.85,0.849,0.81,0.788,0.81,0.788
"MI","Con",1.173,1.173,0.94,0.907,0.94,0.907
"PC50","InCon",0.852,0.852,0.804,0.784,0.804,0.784
"MI","InCon",1.131,1.131,1.096,1.081,1.096,1.081
