"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MC","Con",0.576,0.576,0.537,0.519,0.537,0.519
"MC","Con",0.591,0.591,0.536,0.509,0.536,0.509
"PC50","Con",0.59,0.59,0.548,0.525,0.548,0.525
"MC","Con",0.591,0.587,0.54,0.512,0.54,0.512
"PC50","InCon",0.805,0.805,0.77,0.748,0.77,0.748
"PC50","InCon",0.785,0.785,0.745,0.689,0.745,0.689
"PC50","Con",0.72,0.72,0.675,0.655,0.675,0.655
"MC","InCon",0.921,0.921,0.865,0.831,0.865,0.831
"PC50","InCon",0.797,0.797,0.753,0.734,0.753,0.734
"MC","InCon",0.678,0.678,0.639,0.611,0.639,0.611
"MC","Con",0.678,0.679,0.608,0.59,0.608,0.59
"MC","InCon",1.052,1.052,1.015,0.994,1.015,0.994
"MC","Con",0.796,0.794,0.758,0.743,0.758,0.743
"MC","InCon",0.727,0.727,0.672,0.638,0.672,0.638
"MC","Con",0.764,0.764,0.711,0.688,0.711,0.688
"MC","Con",0.843,0.843,0.801,0.784,0.801,0.784
"MC","Con",1.107,1.107,1.065,1.021,1.065,1.021
"MC","Con",0.637,0.637,0.599,0.585,0.599,0.585
"MC","Con",0.701,0.701,0.665,0.604,0.665,0.604
"PC50","Con",1.166,1.166,0.987,0.966,0.987,0.966
"MC","InCon",0.806,0.806,0.764,0.736,0.764,0.736
"MC","Con",0.895,0.895,0.846,0.818,0.846,0.818
"PC50","Con",0.655,0.656,0.606,0.585,0.606,0.585
"MC","Con",0.715,0.715,0.675,0.651,0.675,0.651
"PC50","Con",0.81,0.81,0.765,0.742,0.765,0.742
"MC","Con",0.644,0.644,0.605,0.59,0.605,0.59
"PC50","Con",0.822,0.822,0.638,0.584,0.638,0.584
"PC50","InCon",0.819,0.819,0.778,0.752,0.778,0.752
"PC50","InCon",0.841,0.841,0.802,0.778,0.802,0.778
"MC","Con",0.845,0.845,0.758,0.734,0.758,0.734
"PC50","InCon",1.242,1.242,1.154,1.121,1.154,1.121
"MC","Con",0.933,0.933,0.894,0.874,0.894,0.874
"MC","Con",0.786,0.786,0.75,0.731,0.75,0.731
"MC","Con",0.731,0.731,0.693,0.675,0.693,0.675
"MC","Con",0.697,0.697,0.654,0.605,0.654,0.605
"MC","InCon",1.019,1.019,0.983,0.968,0.983,0.968
"MC","Con",0.597,0.597,0.55,0.529,0.55,0.529
"MC","Con",0.566,0.566,0.525,0.508,0.525,0.508
"MC","InCon",0.641,0.641,0.603,0.589,0.603,0.589
"MC","Con",0.598,0.599,0.561,0.544,0.561,0.544
"PC50","Con",0.605,0.605,0.561,0.525,0.561,0.525
"MC","Con",0.643,0.643,0.605,0.59,0.605,0.59
"MC","Con",0.912,0.912,0.875,0.86,0.875,0.86
"MC","Con",0.648,0.648,0.61,0.593,0.61,0.593
"MC","Con",0.605,0.605,0.569,0.554,0.569,0.554
"PC50","InCon",1.082,1.082,1.041,1.018,1.041,1.018
"MC","Con",0.671,0.671,0.633,0.611,0.633,0.611
"PC50","Con",0.915,0.915,0.879,0.863,0.879,0.863
"MC","Con",0.623,0.624,0.584,0.562,0.584,0.562
"PC50","InCon",0.72,0.72,0.684,0.668,0.684,0.668
"PC50","InCon",0.776,0.776,0.741,0.728,0.741,0.728
"PC50","InCon",0.798,0.798,0.749,0.732,0.749,0.732
"MC","Con",0.608,0.608,0.571,0.554,0.571,0.554
"MC","Con",0.674,0.674,0.626,0.601,0.626,0.601
"MC","InCon",0.829,0.829,0.791,0.756,0.791,0.756
"MC","Con",0.725,0.725,0.683,0.658,0.683,0.658
"PC50","Con",0.63,0.63,0.591,0.575,0.591,0.575
"PC50","Con",0.677,0.676,0.612,0.582,0.612,0.582
"MC","Con",0.548,0.548,0.509,0.49,0.509,0.49
"PC50","InCon",0.743,0.743,0.693,0.669,0.693,0.669
"MC","Con",0.837,0.837,0.8,0.787,0.8,0.787
"MC","InCon",1.029,1.029,0.985,0.968,0.985,0.968
"MC","Con",0.682,0.682,0.647,0.613,0.647,0.613
"MC","Con",0.634,0.634,0.593,0.576,0.593,0.576
"PC50","Con",0.706,0.706,0.662,0.633,0.662,0.633
"MC","Con",0.707,0.707,0.67,0.654,0.67,0.654
"MC","InCon",0.74,0.74,0.694,0.667,0.694,0.667
"MC","InCon",0.76,0.76,0.724,0.702,0.724,0.702
"PC50","Con",0.66,0.66,0.614,0.595,0.614,0.595
"MC","Con",0.698,0.698,0.662,0.646,0.662,0.646
"MC","InCon",0.784,0.784,0.742,0.674,0.742,0.674
"PC50","InCon",0.747,0.747,0.708,0.689,0.708,0.689
"PC50","Con",0.624,0.624,0.586,0.57,0.586,0.57
"MC","Con",0.855,0.855,0.65,0.622,0.65,0.622
"MC","InCon",0.667,0.667,0.626,0.603,0.626,0.603
"PC50","InCon",1.002,1.002,0.956,0.931,0.956,0.931
"MC","Con",0.773,0.773,0.736,0.72,0.736,0.72
"PC50","Con",0.671,0.671,0.637,0.625,0.637,0.625
"MC","Con",0.752,0.752,0.709,0.66,0.709,0.66
"MC","InCon",0.898,0.898,0.852,0.823,0.852,0.823
"PC50","InCon",0.763,0.763,0.727,0.688,0.727,0.688
"PC50","InCon",0.624,0.624,0.587,0.568,0.587,0.568
"PC50","Con",0.682,0.682,0.647,0.635,0.647,0.635
"MC","Con",0.838,0.838,0.667,0.643,0.667,0.643
"PC50","Con",1.154,1.154,1.12,1.111,1.12,1.111
