"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",1.525,1.525,1.487,1.466,1.487,1.466
"MC","Con",0.6,0.6,0.565,0.552,0.565,0.552
"MC","Con",0.684,0.684,0.644,0.616,0.644,0.616
"MC","Con",0.888,0.888,0.85,0.835,0.85,0.835
"PC50","InCon",0.704,0.704,0.665,0.65,0.665,0.65
"PC50","InCon",0.843,0.843,0.802,0.748,0.802,0.748
"PC50","Con",0.833,0.833,0.741,0.713,0.741,0.713
"MC","Con",0.749,0.749,0.713,0.692,0.713,0.692
"MC","Con",0.681,0.681,0.645,0.632,0.645,0.632
"MC","InCon",1.229,1.229,1.072,1.048,1.072,1.048
"MC","InCon",0.809,0.809,0.768,0.739,0.768,0.739
"MC","Con",0.683,0.683,0.644,0.616,0.644,0.616
"MC","Con",0.83,0.83,0.79,0.729,0.79,0.729
"MC","Con",0.736,0.736,0.696,0.672,0.696,0.672
"PC50","Con",0.754,0.754,0.716,0.697,0.716,0.697
"MC","Con",0.682,0.682,0.643,0.628,0.643,0.628
"MC","InCon",0.816,0.816,0.76,0.728,0.76,0.728
"MC","Con",0.678,0.678,0.643,0.629,0.643,0.629
"MC","Con",0.629,0.629,0.591,0.572,0.591,0.572
"MC","Con",0.519,0.519,0.483,0.468,0.483,0.468
"MC","InCon",0.854,0.854,0.801,0.779,0.801,0.779
"MC","Con",0.618,0.618,0.572,0.552,0.572,0.552
"MC","Con",0.584,0.584,0.548,0.537,0.548,0.537
"MC","Con",0.774,0.774,0.696,0.672,0.696,0.672
"PC50","InCon",0.778,0.778,0.73,0.688,0.73,0.688
"PC50","InCon",1.13,1.13,0.937,0.911,0.937,0.911
"PC50","InCon",0.752,0.752,0.703,0.683,0.703,0.683
"MC","Con",0.634,0.634,0.596,0.576,0.596,0.576
"MC","InCon",0.655,0.654,0.613,0.596,0.613,0.596
"MC","Con",0.619,0.619,0.578,0.556,0.578,0.556
"MC","Con",0.703,0.703,0.667,0.643,0.667,0.643
"PC50","InCon",0.75,0.75,0.703,0.683,0.703,0.683
"PC50","Con",0.806,0.806,0.766,0.752,0.766,0.752
"PC50","Con",0.637,0.637,0.602,0.589,0.602,0.589
"PC50","InCon",0.77,0.77,0.702,0.684,0.702,0.684
"MC","Con",0.719,0.72,0.678,0.657,0.678,0.657
"MC","Con",0.692,0.692,0.65,0.627,0.65,0.627
"MC","InCon",0.792,0.792,0.754,0.703,0.754,0.703
"MC","Con",0.712,0.712,0.676,0.662,0.676,0.662
"PC50","InCon",0.654,0.654,0.616,0.6,0.616,0.6
"PC50","Con",1.114,1.114,1.024,0.994,1.024,0.994
"MC","Con",0.62,0.619,0.583,0.564,0.583,0.564
"MC","InCon",0.911,0.911,0.866,0.833,0.866,0.833
"MC","Con",0.71,0.712,0.668,0.646,0.668,0.646
"MC","Con",0.62,0.62,0.582,0.55,0.582,0.55
"PC50","Con",0.63,0.63,0.595,0.583,0.595,0.583
"MC","Con",0.7,0.7,0.658,0.627,0.658,0.627
"MC","InCon",1.045,1.045,0.995,0.976,0.995,0.976
"MC","InCon",0.664,0.664,0.617,0.596,0.617,0.596
"MC","Con",0.653,0.653,0.609,0.592,0.609,0.592
"MC","Con",0.765,0.765,0.72,0.683,0.72,0.683
"PC50","Con",0.732,0.732,0.685,0.668,0.685,0.668
"MC","Con",0.666,0.666,0.618,0.597,0.618,0.597
"MC","Con",0.773,0.773,0.739,0.708,0.739,0.708
"MC","Con",0.622,0.622,0.584,0.561,0.584,0.561
"MC","Con",0.615,0.615,0.576,0.554,0.576,0.554
"MC","InCon",1.073,1.073,0.898,0.858,0.898,0.858
"MC","Con",0.713,0.713,0.673,0.629,0.673,0.629
"PC50","Con",0.626,0.626,0.587,0.569,0.587,0.569
"PC50","Con",0.725,0.725,0.685,0.666,0.685,0.666
"PC50","Con",0.644,0.643,0.606,0.591,0.606,0.591
"MC","Con",0.626,0.626,0.592,0.578,0.592,0.578
"MC","Con",0.647,0.648,0.607,0.587,0.607,0.587
"PC50","Con",0.678,0.678,0.639,0.603,0.639,0.603
"PC50","Con",1.008,1.008,0.965,0.935,0.965,0.935
"MC","Con",0.621,0.626,0.585,0.567,0.585,0.567
"MC","InCon",0.985,0.985,0.946,0.917,0.946,0.917
"MC","Con",0.697,0.697,0.659,0.641,0.659,0.641
"MC","InCon",1.037,1.037,0.996,0.977,0.996,0.977
"MC","Con",0.695,0.695,0.66,0.646,0.66,0.646
"PC50","InCon",0.687,0.687,0.652,0.64,0.652,0.64
"PC50","InCon",1.23,1.23,1.195,1.182,1.195,1.182
"MC","InCon",0.684,0.684,0.639,0.606,0.639,0.606
"MC","Con",0.692,0.692,0.65,0.592,0.65,0.592
"MC","Con",0.78,0.78,0.737,0.673,0.737,0.673
"MC","Con",0.692,0.692,0.657,0.643,0.657,0.643
"MC","Con",0.625,0.624,0.591,0.577,0.591,0.577
"MC","InCon",0.898,0.898,0.859,0.839,0.859,0.839
"PC50","InCon",0.635,0.635,0.599,0.586,0.599,0.586
"PC50","InCon",0.704,0.704,0.668,0.653,0.668,0.653
"MC","InCon",0.852,0.852,0.818,0.803,0.818,0.803
"PC50","Con",1,1,0.965,0.937,0.965,0.937
"MC","Con",0.581,0.581,0.542,0.524,0.542,0.524
"MC","Con",0.594,0.594,0.545,0.515,0.545,0.515
"MC","Con",0.689,0.689,0.651,0.619,0.651,0.619
"MC","Con",0.625,0.625,0.589,0.573,0.589,0.573
"MC","Con",0.676,0.676,0.621,0.599,0.621,0.599
"PC50","InCon",0.69,0.69,0.648,0.61,0.648,0.61
"MC","Con",0.58,0.59,0.542,0.524,0.542,0.524
"MC","Con",0.625,0.625,0.585,0.569,0.585,0.569
"MC","InCon",0.696,0.696,0.66,0.647,0.66,0.647
"MC","Con",0.593,0.593,0.553,0.523,0.553,0.523
"MC","Con",0.629,0.629,0.585,0.565,0.585,0.565
"PC50","Con",0.755,0.755,0.72,0.703,0.72,0.703
"PC50","InCon",0.738,0.739,0.688,0.659,0.688,0.659
"PC50","InCon",1.225,1.225,1.193,1.185,1.193,1.185
"MC","Con",0.675,0.675,0.639,0.594,0.639,0.594
"MC","Con",0.699,0.699,0.663,0.649,0.663,0.649
"MC","InCon",0.684,0.684,0.649,0.629,0.649,0.629
"MC","InCon",0.696,0.696,0.661,0.647,0.661,0.647
"PC50","Con",0.755,0.757,0.602,0.577,0.602,0.577
"MC","Con",0.607,0.607,0.567,0.53,0.567,0.53
"MC","Con",0.668,0.668,0.604,0.584,0.604,0.584
"MC","InCon",0.995,0.995,0.96,0.92,0.96,0.92
"PC50","InCon",0.829,0.829,0.787,0.76,0.787,0.76
"PC50","InCon",0.761,0.761,0.727,0.718,0.727,0.718
"PC50","Con",0.894,0.894,0.853,0.834,0.853,0.834
"PC50","Con",0.723,0.723,0.676,0.656,0.676,0.656
"MC","Con",0.766,0.766,0.724,0.698,0.724,0.698
"MC","InCon",1.462,1.462,1.423,1.397,1.423,1.397
"MC","Con",0.746,0.746,0.664,0.643,0.664,0.643
"MC","Con",0.751,0.751,0.714,0.699,0.714,0.699
"MC","Con",0.761,0.761,0.727,0.717,0.727,0.717
"MC","Con",0.697,0.697,0.656,0.64,0.656,0.64
"MC","Con",0.761,0.76,0.725,0.711,0.725,0.711
"PC50","InCon",0.835,0.835,0.802,0.79,0.802,0.79
"PC50","InCon",0.845,0.845,0.804,0.781,0.804,0.781
"MC","Con",0.779,0.779,0.74,0.725,0.74,0.725
"MC","InCon",0.769,0.769,0.733,0.715,0.733,0.715
"PC50","Con",0.763,0.763,0.726,0.709,0.726,0.709
"MC","Con",0.684,0.684,0.649,0.637,0.649,0.637
"MC","Con",0.677,0.677,0.641,0.626,0.641,0.626
"MC","InCon",0.899,0.899,0.855,0.817,0.855,0.817
"PC50","Con",0.723,0.723,0.685,0.656,0.685,0.656
"MC","Con",0.672,0.672,0.634,0.616,0.634,0.616
"MC","Con",0.545,0.545,0.505,0.491,0.505,0.491
"MC","Con",0.83,0.83,0.645,0.615,0.645,0.615
"MC","Con",0.767,0.767,0.73,0.716,0.73,0.716
"PC50","InCon",0.69,0.69,0.655,0.643,0.655,0.643
"PC50","Con",0.796,0.796,0.754,0.734,0.754,0.734
"MC","Con",0.799,0.799,0.748,0.729,0.748,0.729
