"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",0.807,0.807,0.767,0.749,0.767,0.749
"MI","InCon",1.099,1.099,1.043,0.997,1.043,0.997
"PC50","Con",0.81,0.81,0.773,0.757,0.773,0.757
"MI","InCon",0.732,0.732,0.696,0.68,0.696,0.68
"MI","Con",0.79,0.79,0.752,0.726,0.752,0.726
"MI","InCon",1.018,1.018,0.98,0.962,0.98,0.962
"MI","InCon",0.825,0.825,0.766,0.724,0.766,0.724
"MI","InCon",0.871,0.871,0.829,0.776,0.829,0.776
"MI","InCon",1.241,1.241,1.202,1.178,1.202,1.178
"MI","Con",0.852,0.852,0.816,0.798,0.816,0.798
"PC50","InCon",0.694,0.694,0.65,0.611,0.65,0.611
"MI","InCon",0.807,0.807,0.769,0.752,0.769,0.752
"MI","InCon",1.016,1.016,0.978,0.951,0.978,0.951
"MI","InCon",0.709,0.709,0.671,0.65,0.671,0.65
"MI","InCon",0.769,0.769,0.728,0.664,0.728,0.664
"MI","InCon",0.745,0.745,0.706,0.686,0.706,0.686
"MI","InCon",0.79,0.79,0.749,0.723,0.749,0.723
"PC50","Con",0.671,0.671,0.637,0.626,0.637,0.626
"MI","InCon",0.678,0.678,0.638,0.617,0.638,0.617
"PC50","Con",0.604,0.603,0.568,0.556,0.568,0.556
"MI","InCon",0.733,0.733,0.692,0.662,0.692,0.662
"MI","InCon",0.784,0.784,0.724,0.689,0.724,0.689
"MI","Con",1.731,1.731,1.693,1.674,1.693,1.674
"MI","InCon",1.065,1.065,1.012,0.977,1.012,0.977
"MI","Con",1.266,1.266,1.229,1.21,1.229,1.21
"PC50","Con",1.567,1.567,1.521,1.487,1.521,1.487
"MI","InCon",0.946,0.946,0.908,0.889,0.908,0.889
"PC50","InCon",0.784,0.784,0.748,0.732,0.748,0.732
"PC50","InCon",0.763,0.763,0.714,0.687,0.714,0.687
"MI","Con",1.088,1.088,1.045,1.024,1.045,1.024
"MI","InCon",0.738,0.738,0.697,0.677,0.697,0.677
"MI","InCon",1.338,1.338,1.267,1.246,1.267,1.246
"MI","Con",1.203,1.203,1.149,1.095,1.149,1.095
"MI","InCon",0.695,0.695,0.655,0.63,0.655,0.63
"PC50","InCon",0.917,0.917,0.884,0.871,0.884,0.871
"MI","InCon",0.863,0.863,0.826,0.805,0.826,0.805
"PC50","Con",0.768,0.768,0.699,0.682,0.699,0.682
"PC50","Con",1.396,1.396,1.354,1.327,1.354,1.327
"MI","InCon",1.629,1.629,1.593,1.576,1.593,1.576
"MI","Con",0.819,0.819,0.777,0.758,0.777,0.758
"PC50","InCon",0.876,0.876,0.84,0.826,0.84,0.826
"PC50","InCon",1.125,1.125,1.077,1.046,1.077,1.046
"MI","InCon",0.812,0.812,0.769,0.747,0.769,0.747
"PC50","Con",0.759,0.759,0.707,0.685,0.707,0.685
"MI","Con",0.867,0.867,0.828,0.805,0.828,0.805
"MI","InCon",0.724,0.724,0.681,0.66,0.681,0.66
