"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",1.902,1.902,1.865,1.842,1.865,1.842
"PC50","Con",0.791,0.791,0.755,0.73,0.755,0.73
"MI","InCon",0.912,0.912,0.866,0.841,0.866,0.841
"MI","InCon",0.946,0.946,0.893,0.864,0.893,0.864
"PC50","InCon",1.314,1.314,1.28,1.268,1.28,1.268
"PC50","Con",0.749,0.749,0.709,0.692,0.709,0.692
"MI","InCon",1.008,1.008,0.961,0.931,0.961,0.931
"MI","Con",0.959,0.96,0.919,0.898,0.919,0.898
"MI","InCon",0.803,0.803,0.762,0.741,0.762,0.741
"PC50","InCon",0.742,0.742,0.696,0.674,0.696,0.674
"MI","InCon",1.064,1.064,1.027,0.994,1.027,0.994
"MI","InCon",0.943,0.943,0.906,0.89,0.906,0.89
"MI","InCon",0.672,0.672,0.631,0.613,0.631,0.613
"MI","InCon",0.668,0.668,0.622,0.601,0.622,0.601
"MI","InCon",0.789,0.789,0.75,0.72,0.75,0.72
"MI","InCon",0.787,0.787,0.749,0.732,0.749,0.732
"MI","Con",0.982,0.982,0.946,0.929,0.946,0.929
"PC50","InCon",0.869,0.869,0.822,0.783,0.822,0.783
"MI","InCon",1.029,1.112,0.993,0.975,0.993,0.975
"MI","InCon",0.905,0.905,0.867,0.854,0.867,0.854
"PC50","Con",0.889,0.889,0.833,0.782,0.833,0.782
"MI","Con",1.11,1.11,1.069,0.979,1.069,0.979
"MI","InCon",0.814,0.815,0.764,0.741,0.764,0.741
"MI","InCon",0.858,0.858,0.818,0.792,0.818,0.792
"MI","InCon",0.976,0.976,0.931,0.904,0.931,0.904
"MI","Con",0.661,0.661,0.616,0.591,0.616,0.591
"MI","InCon",1.043,1.043,0.992,0.93,0.992,0.93
"PC50","Con",1.006,1.006,0.968,0.952,0.968,0.952
"MI","Con",1.145,1.145,1.091,1.059,1.091,1.059
"PC50","InCon",1.396,1.396,1.355,1.343,1.355,1.343
"MI","InCon",0.943,0.943,0.904,0.877,0.904,0.877
"PC50","Con",0.676,0.676,0.625,0.595,0.625,0.595
"PC50","Con",0.857,0.857,0.822,0.812,0.822,0.812
"PC50","InCon",0.933,0.933,0.863,0.82,0.863,0.82
"PC50","InCon",0.776,0.776,0.734,0.71,0.734,0.71
"MI","Con",0.769,0.769,0.722,0.692,0.722,0.692
"MI","InCon",1.047,1.047,1.012,0.999,1.012,0.999
"PC50","Con",0.788,0.788,0.751,0.735,0.751,0.735
"MI","Con",0.767,0.767,0.73,0.715,0.73,0.715
"MI","InCon",0.698,0.698,0.662,0.645,0.662,0.645
"MI","InCon",0.774,0.774,0.727,0.699,0.727,0.699
"MI","InCon",0.685,0.685,0.639,0.617,0.639,0.617
"PC50","Con",0.938,0.938,0.903,0.891,0.903,0.891
"PC50","InCon",0.646,0.646,0.612,0.605,0.612,0.605
"MI","Con",0.54,0.54,0.502,0.486,0.502,0.486
"PC50","InCon",1.113,1.113,1.078,1.044,1.078,1.044
"MI","InCon",0.615,0.615,0.572,0.548,0.572,0.548
"MI","InCon",2.118,2.118,2.087,2.075,2.087,2.075
"PC50","InCon",1.245,1.245,1.211,1.2,1.211,1.2
"MI","InCon",1.26,1.26,1.225,1.188,1.225,1.188
"MI","InCon",0.929,0.929,0.889,0.868,0.889,0.868
"MI","InCon",0.698,0.698,0.633,0.606,0.633,0.606
"MI","Con",1.114,1.114,1.064,1.022,1.064,1.022
"PC50","Con",0.753,0.753,0.697,0.667,0.697,0.667
"MI","Con",0.974,0.974,0.934,0.88,0.934,0.88
"MI","Con",1.547,1.545,1.515,1.506,1.515,1.506
"MI","InCon",0.94,0.94,0.904,0.886,0.904,0.886
"PC50","InCon",0.852,0.852,0.796,0.771,0.796,0.771
"PC50","Con",0.648,0.648,0.608,0.591,0.608,0.591
"MI","InCon",0.83,0.83,0.79,0.769,0.79,0.769
"MI","InCon",0.713,0.713,0.678,0.66,0.678,0.66
"PC50","Con",0.772,0.772,0.686,0.655,0.686,0.655
"PC50","Con",0.792,0.792,0.753,0.731,0.753,0.731
"MI","InCon",0.773,0.776,0.716,0.683,0.716,0.683
"PC50","InCon",1.397,1.397,1.362,1.348,1.362,1.348
"MI","InCon",1.184,1.184,1.151,1.136,1.151,1.136
"PC50","InCon",0.849,0.849,0.803,0.772,0.803,0.772
"MI","InCon",0.888,0.888,0.842,0.817,0.842,0.817
"MI","InCon",0.787,0.787,0.747,0.722,0.747,0.722
"MI","InCon",0.935,0.935,0.889,0.855,0.889,0.855
"MI","InCon",1.039,1.039,1.002,0.983,1.002,0.983
"MI","Con",0.9,0.9,0.859,0.839,0.859,0.839
"MI","InCon",0.813,0.813,0.772,0.752,0.772,0.752
"MI","InCon",0.794,0.794,0.758,0.744,0.758,0.744
"MI","InCon",1.046,1.045,1.005,0.986,1.005,0.986
"PC50","Con",0.617,0.619,0.579,0.561,0.579,0.561
"PC50","InCon",0.864,0.864,0.831,0.82,0.831,0.82
"MI","InCon",0.58,0.58,0.541,0.523,0.541,0.523
"PC50","InCon",0.67,0.67,0.631,0.605,0.631,0.605
"PC50","InCon",0.724,0.724,0.68,0.641,0.68,0.641
"MI","Con",0.719,0.719,0.665,0.625,0.665,0.625
"MI","InCon",0.743,0.743,0.7,0.675,0.7,0.675
"MI","InCon",1.01,1.01,0.959,0.932,0.959,0.932
"PC50","Con",1.777,1.777,1.739,1.716,1.739,1.716
"MI","Con",0.873,0.873,0.828,0.775,0.828,0.775
"MI","InCon",0.649,0.649,0.61,0.593,0.61,0.593
"MI","InCon",0.793,0.793,0.748,0.706,0.748,0.706
"PC50","Con",0.811,0.811,0.777,0.77,0.777,0.77
"MI","InCon",0.922,0.922,0.875,0.853,0.875,0.853
"PC50","Con",0.767,0.766,0.719,0.692,0.719,0.692
"MI","Con",0.888,0.888,0.851,0.833,0.851,0.833
"MI","InCon",0.827,0.827,0.772,0.742,0.772,0.742
"PC50","Con",0.785,0.785,0.746,0.727,0.746,0.727
"PC50","InCon",1.515,1.515,1.463,1.417,1.463,1.417
"MI","Con",0.957,0.957,0.916,0.856,0.916,0.856
"MI","Con",1.607,1.607,1.57,1.504,1.57,1.504
"PC50","InCon",0.883,0.883,0.839,0.82,0.839,0.82
"MI","InCon",0.741,0.741,0.699,0.678,0.699,0.678
"MI","InCon",2.663,2.663,2.627,2.599,2.627,2.599
"MI","InCon",0.959,0.959,0.914,0.891,0.914,0.891
"PC50","InCon",0.883,0.883,0.843,0.824,0.843,0.824
"MI","InCon",1.417,1.417,1.377,1.35,1.377,1.35
"MI","InCon",2.13,2.131,2.095,2.079,2.095,2.079
"PC50","Con",1.127,1.127,1.076,1.052,1.076,1.052
"MI","InCon",1.016,1.016,0.974,0.929,0.974,0.929
"MI","Con",1.76,1.76,1.726,1.714,1.726,1.714
"MI","InCon",1.124,1.124,1.083,1.059,1.083,1.059
"MI","InCon",1.893,1.893,1.858,1.82,1.858,1.82
"MI","Con",0.739,0.739,0.7,0.684,0.7,0.684
"MI","InCon",0.717,0.717,0.67,0.636,0.67,0.636
"MI","InCon",0.866,0.866,0.831,0.784,0.831,0.784
"MI","InCon",0.706,0.706,0.662,0.632,0.662,0.632
"PC50","Con",0.722,0.724,0.68,0.662,0.68,0.662
"PC50","Con",0.56,0.56,0.522,0.503,0.522,0.503
"MI","InCon",0.722,0.722,0.671,0.642,0.671,0.642
"MI","Con",0.705,0.706,0.662,0.627,0.662,0.627
"MI","InCon",0.863,0.863,0.818,0.776,0.818,0.776
"PC50","InCon",0.902,0.902,0.869,0.861,0.869,0.861
"MI","InCon",0.94,0.94,0.88,0.854,0.88,0.854
"MI","InCon",1.072,1.072,1.032,1.003,1.032,1.003
"PC50","Con",0.725,0.725,0.691,0.683,0.691,0.683
"PC50","InCon",0.876,0.876,0.839,0.824,0.839,0.824
"PC50","Con",1.036,1.036,0.692,0.678,0.692,0.678
"MI","InCon",0.814,0.813,0.777,0.759,0.777,0.759
"MI","InCon",1.14,1.14,1.094,1.064,1.094,1.064
"MI","InCon",0.855,0.855,0.812,0.782,0.812,0.782
"MI","InCon",0.849,0.849,0.805,0.765,0.805,0.765
"PC50","InCon",1.085,1.08,1.027,0.996,1.027,0.996
"MI","InCon",1.19,1.19,1.147,1.117,1.147,1.117
"MI","InCon",1.344,1.347,1.304,1.277,1.304,1.277
"PC50","InCon",1.089,1.089,1.034,1.004,1.034,1.004
"MI","Con",0.912,0.912,0.865,0.841,0.865,0.841
"MI","Con",1.033,1.033,0.994,0.971,0.994,0.971
"MI","Con",1.075,1.075,1.026,1,1.026,1
"PC50","Con",1.074,1.074,1.032,0.966,1.032,0.966
"MI","InCon",1.172,1.172,1.112,1.059,1.112,1.059
"MI","InCon",1.042,1.042,1,0.981,1,0.981
"PC50","Con",0.708,0.708,0.668,0.627,0.668,0.627
"PC50","InCon",0.786,0.786,0.745,0.711,0.745,0.711
"MI","InCon",0.722,0.722,0.682,0.657,0.682,0.657
"MI","InCon",0.874,0.874,0.837,0.817,0.837,0.817
"PC50","InCon",0.905,0.905,0.857,0.835,0.857,0.835
"MI","Con",1.085,1.085,1.002,0.962,1.002,0.962
"MI","InCon",2.621,2.621,2.589,2.565,2.589,2.565
"MI","InCon",0.736,0.736,0.695,0.678,0.695,0.678
"MI","Con",0.736,0.736,0.698,0.678,0.698,0.678
"PC50","Con",0.631,0.631,0.593,0.576,0.593,0.576
"MI","InCon",1.23,1.23,1.192,1.133,1.192,1.133
"PC50","InCon",0.851,0.851,0.798,0.773,0.798,0.773
"MI","Con",0.758,0.758,0.718,0.693,0.718,0.693
"MI","InCon",0.715,0.715,0.676,0.65,0.676,0.65
"MI","InCon",0.876,0.876,0.836,0.808,0.836,0.808
"PC50","Con",0.844,0.845,0.803,0.78,0.803,0.78
"PC50","Con",0.725,0.725,0.686,0.671,0.686,0.671
"PC50","Con",0.93,0.93,0.885,0.855,0.885,0.855
"PC50","InCon",0.966,0.966,0.929,0.916,0.929,0.916
"PC50","Con",0.561,0.561,0.521,0.509,0.521,0.509
"PC50","InCon",0.97,0.97,0.924,0.894,0.924,0.894
"MI","InCon",1.116,1.116,1.081,1.065,1.081,1.065
"MI","InCon",0.772,0.772,0.731,0.705,0.731,0.705
"MI","InCon",0.973,0.973,0.933,0.914,0.933,0.914
"MI","InCon",0.9,0.9,0.861,0.843,0.861,0.843
"MI","InCon",0.989,0.989,0.947,0.929,0.947,0.929
"MI","Con",0.477,0.477,0.441,0.431,0.441,0.431
"PC50","InCon",0.742,0.742,0.704,0.688,0.704,0.688
"MI","InCon",0.677,0.677,0.633,0.613,0.633,0.613
"PC50","InCon",0.805,0.805,0.754,0.681,0.754,0.681
"MI","InCon",0.937,0.937,0.869,0.848,0.869,0.848
"PC50","InCon",0.82,0.82,0.78,0.762,0.78,0.762
"MI","Con",0.65,0.65,0.611,0.594,0.611,0.594
