"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","Con",0.963,0.963,0.916,0.876,0.916,0.876
"PC50","InCon",0.968,0.968,0.932,0.912,0.932,0.912
"MC","Con",0.918,0.918,0.881,0.863,0.881,0.863
"MC","Con",0.961,0.961,0.924,0.907,0.924,0.907
"PC50","InCon",0.829,0.829,0.792,0.778,0.792,0.778
"MC","Con",0.817,0.817,0.781,0.767,0.781,0.767
"PC50","Con",0.756,0.756,0.72,0.707,0.72,0.707
"MC","Con",0.847,0.847,0.808,0.79,0.808,0.79
"PC50","Con",0.902,0.902,0.859,0.825,0.859,0.825
"MC","Con",0.892,0.892,0.85,0.828,0.85,0.828
"MC","Con",1.042,1.042,0.968,0.95,0.968,0.95
"MC","Con",0.786,0.786,0.729,0.702,0.729,0.702
"MC","InCon",1.006,1.006,0.971,0.958,0.971,0.958
"MC","Con",1.057,1.057,1.019,0.995,1.019,0.995
"MC","Con",0.741,0.741,0.701,0.636,0.701,0.636
"PC50","InCon",1.037,1.037,0.998,0.976,0.998,0.976
"MC","InCon",1.18,1.18,1.141,1.122,1.141,1.122
"MC","Con",0.982,0.982,0.944,0.93,0.944,0.93
"PC50","InCon",1.008,1.008,0.969,0.948,0.969,0.948
"MC","Con",0.959,0.959,0.922,0.902,0.922,0.902
"PC50","Con",0.888,0.888,0.842,0.813,0.842,0.813
"MC","Con",1.015,1.015,0.973,0.951,0.973,0.951
"MC","Con",0.788,0.788,0.745,0.725,0.745,0.725
"MC","InCon",0.942,0.942,0.901,0.829,0.901,0.829
"MC","Con",0.811,0.811,0.777,0.755,0.777,0.755
"MC","InCon",0.861,0.861,0.822,0.801,0.822,0.801
"MC","InCon",0.885,0.885,0.842,0.816,0.842,0.816
"MC","Con",0.75,0.75,0.709,0.689,0.709,0.689
"MC","Con",0.819,0.819,0.78,0.76,0.78,0.76
"PC50","Con",0.796,0.796,0.761,0.746,0.761,0.746
"MC","Con",0.819,0.819,0.778,0.758,0.778,0.758
"MC","Con",0.8,0.8,0.755,0.727,0.755,0.727
"PC50","InCon",0.882,0.882,0.847,0.82,0.847,0.82
"MC","InCon",1.547,1.547,1.51,1.498,1.51,1.498
"PC50","InCon",0.961,0.961,0.925,0.907,0.925,0.907
"PC50","Con",0.852,0.852,0.815,0.785,0.815,0.785
"MC","InCon",1.16,1.16,1.106,1.084,1.106,1.084
"PC50","InCon",0.862,0.862,0.827,0.811,0.827,0.811
"MC","Con",0.829,0.829,0.783,0.761,0.783,0.761
"MC","Con",0.79,0.79,0.743,0.719,0.743,0.719
"MC","InCon",0.993,0.993,0.952,0.931,0.952,0.931
"MC","Con",0.742,0.742,0.702,0.682,0.702,0.682
"MC","Con",0.885,0.885,0.737,0.706,0.737,0.706
"PC50","Con",0.805,0.805,0.763,0.722,0.763,0.722
"MC","Con",0.75,0.75,0.713,0.696,0.713,0.696
"MC","Con",0.889,0.889,0.853,0.841,0.853,0.841
"PC50","Con",0.688,0.688,0.643,0.623,0.643,0.623
"MC","Con",0.795,0.795,0.747,0.723,0.747,0.723
