"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1SamplingList","TrialType","CorrectAnswer","CueCorrect","ITI","ms","TRs","Cue","Probe","BYListBas1Pro2Rea1","colorlistBasPro","CurrentColor","Probeimage","Location","probeloc","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","CueSlide.RTTime","CueSlide.ACC","CueSlide.RT","CueSlide.RESP","CueSlide.CRESP","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","Border.OnsetDelay","Border.OnsetTime","Border.DurationError","Border.Duration","Border.StartTime","Border.OffsetTime","Border.FinishTime","Border.OffsetDelay","Border.RTTime","Border.ACC","Border.RT","Border.RESP","Border.CRESP","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","AXList","BXListBas1Pro2Rea1","AYListBas1Pro2Rea1","BngListBas1Pro2Rea2","AngListBas1Pro2Rea2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Ang",NA,"1","2","2800","7","A","5",NA,"1","White","white.tif","center","50%","2500","10","704457","2","300","704449","704459","704459","12","10","704757","2","300","704460","704759","704759","12","10","705057","2","500","704759","705059","705059","12","705615","1","558","1","1","10","705557","2","4000","705060","705559","705559","12","9","709556","2","300","705564","709558","709559","11","0","1","0",NA,NA,"9","709856","2","500","709564","709858","709859","11","0","1","0",NA,NA,"9","710356","-9","2500","709859","712847","712847","0","1",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","1","1600","6","A","X",NA,"1","White","white.tif","center","50%","1300","9","712856","2","300","712849","712858","712858","11","9","713156","1","300","712858","713157","713157","10","9","713456","2","500","713158","713458","713458","11","713914","1","458","1","1","8","713955","3","4000","713458","713958","713958","11","8","717955","2","300","713963","717957","717957","10","0","1","0",NA,NA,"8","718255","2","500","717963","718257","718257","10","718719","1","464","2","2","8","718755","-8","1300","718258","720047","720047","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","3","4000","8","H","T","16","1","White","white.tif","center","50%","3700","24","720071","2","300","720049","720073","720074","26","7","720354","2","300","720074","720356","720356","9","7","720654","3","500","720357","720657","720657","10","721077","1","423","1","1","7","721154","2","4000","720657","721156","721157","9","7","725154","2","300","721162","725156","725156","9","0","1","0",NA,NA,"7","725454","2","500","725161","725456","725456","9","725974","1","520","1","1","7","725954","-7","3700","725456","729647","729647","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","2","2800","7","A","X",NA,"1","White","white.tif","center","50%","2500","23","729670","2","300","729649","729672","729672","25","6","729953","2","300","729672","729955","729955","8","6","730253","2","500","729955","730255","730255","8","730707","1","454","1","1","6","730753","2","4000","730256","730755","730755","8","5","734752","2","300","730760","734754","734755","7","0","1","0",NA,NA,"5","735052","2","500","734760","735054","735055","7","735529","1","477","2","2","5","735552","-5","2500","735055","738047","738047","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","2","2800","7","A","X",NA,"1","White","white.tif","center","50%","2500","21","738068","2","300","738049","738070","738071","23","5","738352","1","300","738071","738353","738353","6","5","738652","2","500","738354","738654","738654","7","738983","1","331","1","1","4","739151","3","4000","738654","739154","739154","7","4","743151","2","300","739159","743153","743153","6","0","1","0",NA,NA,"4","743451","2","500","743158","743453","743453","6","743859","1","408","2","2","4","743951","-4","2500","743454","746447","746447","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","BX","1","1","3","4000","8","F","X",NA,"1","White","white.tif","center","50%","3700","20","746467","2","300","746449","746469","746469","22","3","746750","2","300","746470","746752","746752","5","3","747050","2","500","746753","747052","747053","5","747703","1","653","1","1","3","747550","2","4000","747053","747552","747553","5","3","751550","2","300","747558","751552","751552","5","0","1","0",NA,NA,"2","751849","3","500","751557","751852","751852","5","752508","0","659","2","1","2","752349","-2","3700","751852","756047","756047","0","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","2","2800","7","N","P","22","1","White","white.tif","center","50%","2500","18","756065","3","300","756049","756068","756068","21","2","756349","1","300","756068","756350","756351","3","2","756649","2","500","756351","756651","756651","4","757187","1","538","1","1","2","757149","2","4000","756652","757151","757151","4","1","761148","2","300","757156","761150","761150","3","0","1","0",NA,NA,"1","761448","2","500","761156","761450","761450","3","761928","1","480","1","1","1","761948","-1","2500","761451","764447","764447","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","3","4000","8","D","T","8","1","White","white.tif","center","50%","3700","17","764464","2","300","764449","764466","764467","19","0","764747","2","300","764467","764749","764749","2","0","765047","3","500","764750","765050","765050","3","765583","1","536","1","1","0","765547","3","4000","765050","765550","765550","3","16","769563","2","300","765555","769565","769566","18","0","1","0",NA,NA,"0","769847","2","500","769571","769849","769849","2","770395","1","548","1","1","16","770363","-16","3700","769849","774047","774047","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","1","1600","6","U","D","34","1","White","white.tif","center","50%","1300","16","774063","2","300","774049","774065","774065","18","16","774363","1","300","774065","774364","774364","17","16","774663","2","500","774365","774665","774665","18","775706","1","1043","1","1","15","775162","3","4000","774665","775165","775165","18","15","779162","2","300","775170","779164","779164","17","0","1","0",NA,NA,"15","779462","2","500","779169","779464","779464","17","779829","1","367","1","1","15","779962","-15","1300","779465","781247","781247","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","BY","1","1","1","1600","6","D","N","6","1","White","white.tif","center","50%","1300","14","781261","3","300","781249","781264","781264","17","14","781561","2","300","781264","781563","781563","16","14","781861","3","500","781564","781864","781864","17","782384","1","523","1","1","14","782361","2","4000","781864","782363","782364","16","14","786361","2","300","782369","786363","786363","16","0","1","0",NA,NA,"14","786661","2","500","786368","786663","786663","16","787039","1","378","1","1","14","787161","-14","1300","786663","788447","788447","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Ang",NA,"1","3","4000","8","A","1",NA,"1","White","white.tif","center","50%","3700","13","788460","2","300","788449","788462","788463","15","13","788760","2","300","788463","788762","788762","15","13","789060","2","500","788763","789062","789063","15","789664","1","604","1","1","13","789560","2","4000","789063","789562","789563","15","13","793560","2","300","789568","793562","793562","15","0","1","0",NA,NA,"12","793859","3","500","793567","793862","793862","15","0","1","0",NA,NA,"12","794359","-12","3700","793862","798047","798047","0","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","Bng",NA,"1","1","1600","6","M","9",NA,"1","White","white.tif","center","50%","1300","12","798059","2","300","798049","798061","798061","14","12","798359","1","300","798061","798360","798361","13","12","798659","2","500","798361","798661","798661","14","799162","1","503","1","1","12","799159","2","4000","798661","799161","799161","14","11","803158","2","300","799166","803160","803161","13","0","1","0",NA,NA,"11","803458","2","500","803166","803460","803460","13","0","1","0",NA,NA,"11","803958","-11","1300","803461","805247","805247","0","1",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"AXCPTTrialPROC","baseline1","7","baselineBlockList","2","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","AX","2","1","2","2800","7","A","X",NA,"1","White","white.tif","center","50%","2500","11","805258","2","300","805249","805260","805260","13","11","805558","1","300","805260","805559","805560","12","11","805858","2","500","805560","805860","805860","13","806259","1","401","1","1","11","806358","2","4000","805860","806360","806360","13","10","810357","2","300","806365","810359","810359","12","0","1","0",NA,NA,"10","810657","2","500","810365","810659","810659","12","810981","1","324","2","2","10","811157","-10","2500","810660","813647","813647","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118838
"FixationOnlyPROC","baseline1","8","baselineBlockList","2","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","813656","2","30000","813648","813658","813659","11",118838
