"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","PRO1SamplingList","MiInConPro1","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro1","MiConPro1","PC50InConPro1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MI","red","red","2","1","132017_proactive_StroopPro_run1_AudioRecord-29.wav","900","29","214050","2","300","214027","214052","214052","31","12",214333,"2","300","214053","214335","214335","14","132017_proactive_StroopPro_run1_AudioRecord-29.wav","12","214633","3","100","214335","214636","214636","15","12","214733","3","2000","214637","214736","214736","15","12","216733","-12","900","214736","217621","217621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","blue","blue","2","6","132017_proactive_StroopPro_run1_AudioRecord-30.wav","3300","28","217649","2","300","217632","217651","217652","30","12",217933,"2","300","217652","217935","217935","14","132017_proactive_StroopPro_run1_AudioRecord-30.wav","12","218233","2","100","217935","218235","218236","14","12","218333","2","2000","218236","218335","218335","14","11","220332","-11","3300","218336","223621","223621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","GREEN","Con","PC50","green","green","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-31.wav","3300","27","223648","3","300","223627","223651","223651","30","11",223932,"1","300","223651","223933","223934","12","132017_proactive_StroopPro_run1_AudioRecord-31.wav","11","224232","3","100","223934","224235","224235","14","11","224332","2","2000","224235","224334","224334","13","10","226331","-10","3300","224334","229621","229621","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","Con","PC50","yellow","yellow","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-32.wav","3300","26","229647","3","300","229627","229650","229650","29","10",229931,"2","300","229650","229933","229933","12","132017_proactive_StroopPro_run1_AudioRecord-32.wav","10","230231","3","100","229933","230234","230234","13","10","230331","2","2000","230234","230333","230333","12","9","232330","-9","3300","230333","235621","235621","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","Con","PC50","pink","255,105,180","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-33.wav","2100","26","235647","2","300","235627","235649","235649","28","9",235930,"1","300","235649","235931","235932","10","132017_proactive_StroopPro_run1_AudioRecord-33.wav","9","236230","3","100","235932","236233","236233","12","9","236330","2","2000","236233","236332","236332","11","8","238329","-8","2100","236332","240421","240421","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MI","red","red","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-34.wav","900","25","240446","2","300","240427","240448","240449","27","8",240729,"2","300","240449","240731","240731","10","132017_proactive_StroopPro_run1_AudioRecord-34.wav","8","241029","3","100","240731","241032","241032","11","8","241129","2","2000","241033","241131","241132","10","8","243129","-8","900","241132","244021","244021","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","purple","purple","2","10","132017_proactive_StroopPro_run1_AudioRecord-35.wav","2100","24","244045","2","300","244028","244047","244048","26","8",244329,"1","300","244048","244330","244330","9","132017_proactive_StroopPro_run1_AudioRecord-35.wav","7","244628","3","100","244331","244631","244632","10","7","244728","3","2000","244632","244731","244731","10","7","246728","-7","2100","244731","248821","248821","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","4","proactiveBlockList","2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","InCon","MI","red","red","2","2","132017_proactive_StroopPro_run1_AudioRecord-36.wav","900","23","248844","3","300","248827","248847","248847","26","7",249128,"1","300","248847","249129","249130","8","132017_proactive_StroopPro_run1_AudioRecord-36.wav","7","249428","3","100","249130","249431","249431","10","7","249528","2","2000","249431","249530","249530","9","6","251527","-6","900","249530","252421","252421","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"FixationGetReadyPROC","proactive1","5","proactiveBlockList","2","38","23","252444","2","28400","252436","252446","252447","25","2","280823","2","1600","252447","280825","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MI","red","red","2","2","132017_proactive_StroopPro_run1_AudioRecord-37.wav","3300","1","282422","3","300","280827","282425","282425","4","1",282722,"2","300","282425","282724","282724","3","132017_proactive_StroopPro_run1_AudioRecord-37.wav","1","283022","3","100","282725","283025","283026","4","1","283122","3","2000","283026","283125","283125","4","1","285122","-1","3300","283125","288421","288421","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
