"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",1.148,1.148,1.114,1.072,1.114,1.072
"PC50","InCon",1.046,1.046,1.012,0.986,1.012,0.986
"MI","InCon",1.535,1.535,1.502,1.481,1.502,1.481
"PC50","Con",0.929,0.929,0.896,0.887,0.896,0.887
"MI","Con",0.917,0.917,0.881,0.862,0.881,0.862
"PC50","Con",0.945,0.945,0.906,0.889,0.906,0.889
"MI","InCon",1.312,1.312,1.275,1.158,1.275,1.158
"PC50","Con",0.79,0.79,0.754,0.74,0.754,0.74
"MI","Con",0.828,0.828,0.791,0.771,0.791,0.771
"MI","InCon",0.954,0.954,0.92,0.907,0.92,0.907
"PC50","Con",0.84,0.84,0.8,0.76,0.8,0.76
"MI","InCon",0.916,0.916,0.88,0.794,0.88,0.794
"PC50","Con",0.809,0.809,0.774,0.725,0.774,0.725
"MI","InCon",0.787,0.787,0.745,0.726,0.745,0.726
"PC50","Con",0.763,0.763,0.715,0.693,0.715,0.693
"MI","Con",0.895,0.895,0.861,0.849,0.861,0.849
"MI","Con",0.804,0.804,0.769,0.759,0.769,0.759
"MI","InCon",1.466,1.466,1.429,1.368,1.429,1.368
"MI","InCon",0.954,0.954,0.922,0.911,0.922,0.911
"MI","Con",0.963,0.963,0.925,0.908,0.925,0.908
"MI","InCon",1.072,1.072,1.028,1.01,1.028,1.01
"PC50","InCon",1.107,1.107,1.073,1.028,1.073,1.028
"MI","InCon",0.943,0.943,0.909,0.891,0.909,0.891
"MI","InCon",1.21,1.21,1.173,1.156,1.173,1.156
"MI","InCon",1.196,1.196,1.163,1.148,1.163,1.148
"MI","InCon",1.36,1.36,1.328,1.318,1.328,1.318
"PC50","InCon",1.685,1.685,1.588,1.569,1.588,1.569
"PC50","Con",0.782,0.782,0.746,0.725,0.746,0.725
"MI","InCon",1.183,1.183,1.149,1.136,1.149,1.136
"MI","Con",0.941,0.941,0.905,0.89,0.905,0.89
"MI","InCon",0.931,0.931,0.859,0.832,0.859,0.832
"PC50","Con",0.936,0.936,0.9,0.875,0.9,0.875
"PC50","InCon",1.017,1.017,0.984,0.974,0.984,0.974
"MI","InCon",0.991,0.991,0.946,0.931,0.946,0.931
"MI","Con",0.843,0.843,0.806,0.791,0.806,0.791
"MI","InCon",0.828,0.828,0.793,0.781,0.793,0.781
"PC50","InCon",0.916,0.916,0.882,0.869,0.882,0.869
"MI","InCon",1.359,1.359,1.327,1.317,1.327,1.317
"MI","InCon",1.36,1.36,1.328,1.319,1.328,1.319
"MI","InCon",1.348,1.348,1.309,1.278,1.309,1.278
"MI","InCon",0.965,0.965,0.931,0.921,0.931,0.921
"PC50","InCon",1.014,1.014,0.977,0.954,0.977,0.954
"MI","Con",1.4,1.4,1.343,1.319,1.343,1.319
"PC50","Con",1.223,1.223,1.189,1.176,1.189,1.176
"MI","InCon",1.108,1.108,1.025,1.007,1.025,1.007
"PC50","Con",0.93,0.93,0.896,0.885,0.896,0.885
"PC50","InCon",1.084,1.084,1.048,1.007,1.048,1.007
"PC50","InCon",0.967,0.967,0.868,0.849,0.868,0.849
"PC50","InCon",1.14,1.14,1.106,1.093,1.106,1.093
"MI","InCon",1.014,1.014,0.978,0.966,0.978,0.966
"MI","InCon",1.1,1.1,1.025,1.008,1.025,1.008
"MI","Con",1.132,1.132,1.099,1.086,1.099,1.086
"MI","InCon",1.066,1.066,1.029,1.014,1.029,1.014
