"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","PRO1B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PRO1B2SamplingList","TestOrder","PRO1B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","0","?","?","Green","Black","Green","Incentive",NA,"3","4400","X",NA,"3600","1","12","699783","2","800","699773","699785","699786","14","12",700583,"2","300","699786","700585","700585","14","12","700883","2","500","700585","700885","700886","14","12","701383","2","4000","700886","701385","701385","14","11","705382","-11","3200","701386","708571","708571","0",706388,1,1006,"1","1","1","11","708582","2","800","708571","708584","708584","13","11","709382","-11","3600","708585","712971","712971","0",NA,"MixTaskINC","2",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive",NA,"1","2000","X",NA,"1200","2","10","712981","2","800","712973","712983","712984","12","10",713781,"2","300","712984","713783","713783","12","10","714081","2","500","713783","714083","714083","12","10","714581","2","4000","714084","714583","714583","12","9","718580","-9","3200","714584","721771","721771","0",719647,1,1067,"2","2","1","9","721780","2","800","721771","721782","721782","11","9","722580","-9","1200","721782","723771","723771","0",NA,"MixTaskINC","16",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive",NA,"2","3200","X",NA,"2400","2","8","723779","2","800","723773","723781","723782","10","8",724579,"2","300","723782","724581","724581","10","8","724879","2","500","724581","724881","724882","10","8","725379","2","4000","724882","725381","725382","10","8","729379","-8","3200","725382","732571","732571","0",731556,1,2177,"2","2","1","7","732578","2","800","732571","732580","732580","9","7","733378","-7","2400","732581","735771","735771","0",NA,"MixTaskINC","18",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive",NA,"3","4400","X",NA,"3600","1","23","735794","2","800","735773","735796","735797","25","6",736577,"2","300","735797","736579","736579","8","6","736877","2","500","736580","736879","736880","8","6","737377","2","4000","736880","737379","737380","8","6","741377","-6","3200","737380","744571","744571","0",742597,1,1220,"1","1","1","22","744593","2","800","744571","744595","744595","24","5","745376","-5","3600","744595","748971","748971","0",NA,"MixTaskINC","14",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive",NA,"2","3200","X",NA,"2400","1","21","748992","2","800","748973","748994","748995","23","4",749775,"2","300","748995","749777","749777","6","4","750075","2","500","749777","750077","750078","6","4","750575","2","4000","750078","750577","750578","6","4","754575","-4","3200","750578","757771","757771","0",755878,1,1303,"1","1","1","20","757791","2","800","757771","757793","757793","22","3","758574","-3","2400","757793","760971","760971","0",NA,"MixTaskINC","13",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive",NA,"1","2000","X",NA,"1200","1","19","760990","2","800","760973","760992","760993","21","2",761773,"2","300","760993","761775","761775","4","2","762073","2","500","761776","762075","762076","4","2","762573","2","4000","762076","762575","762576","4","2","766573","-2","3200","762576","769771","769771","0",767963,1,1390,"1","1","1","18","769789","2","800","769771","769791","769791","20","1","770572","-1","1200","769792","771771","771771","0",NA,"MixTaskINC","12",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","0","1","?","?","Green","Black","Green","Incentive",NA,"2","3200","X",NA,"2400","1","17","771788","3","800","771772","771791","771791","20","1",772572,"1","300","771791","772573","772574","2","1","772872","2","500","772574","772874","772874","3","1","773372","2","4000","772874","773374","773374","3","0","777371","0","3200","773375","780571","780571","0",778412,1,1041,"1","1","1","16","780587","3","800","780571","780590","780590","19","16","781387","-16","2400","780591","783771","783771","0",NA,"MixTaskINC","3",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Letter","2","2","?","1","0","0","?","?","Green","Black","Green","Incentive",NA,"3","4400","X",NA,"3600","2","16","783787","2","800","783773","783789","783789","18","15",784586,"2","300","783789","784588","784588","17","15","784886","3","500","784589","784889","784889","18","15","785386","2","4000","784889","785388","785389","17","15","789386","-15","3200","785389","792571","792571","0",790231,1,845,"2","2","1","14","792585","2","800","792571","792587","792588","16","14","793385","-14","3600","792588","796971","796971","0",NA,"MixTaskINC","6",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive",NA,"2","3200","X",NA,"2400","2","13","796984","3","800","796973","796987","796987","16","13",797784,"2","300","796987","797786","797786","15","13","798084","2","500","797786","798086","798087","15","13","798584","2","4000","798087","798586","798587","15","13","802584","-13","3200","798587","805771","805771","0",804290,1,1706,"2","2","1","12","805783","2","800","805771","805785","805786","14","12","806583","-12","2400","805786","808971","808971","0",NA,"MixTaskINC","10",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Letter","1","2","?","1","1","1","?","?","Green","Black","Green","Incentive",NA,"3","4400","X",NA,"3600","2","12","808983","2","800","808973","808985","808985","14","11",809782,"2","300","808985","809784","809784","13","11","810082","2","500","809785","810084","810085","13","11","810582","2","4000","810085","810584","810585","13","11","814582","-11","3200","810586","817771","817771","0",815410,1,828,"2","2","1","10","817781","2","800","817771","817783","817784","12","10","818581","-10","3600","817784","822171","822171","0",NA,"MixTaskINC","1",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","0","1","?","?","Green","Black","Green","Incentive",NA,"2","3200","X",NA,"2400","1","10","822181","2","800","822173","822183","822183","12","9",822980,"2","300","822183","822982","822982","11","9","823280","2","500","822983","823282","823283","11","9","823780","2","4000","823283","823782","823783","11","9","827780","-9","3200","823783","830971","830971","0",828627,1,847,"1","1","1","8","830979","2","800","830971","830981","830982","10","8","831779","-8","2400","830982","834171","834171","0",NA,"MixTaskINC","5",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","2","1","0","?","?","Green","Black","Green","Incentive",NA,"1","2000","X",NA,"1200","2","24","834195","3","800","834173","834198","834198","27","7",834978,"2","300","834198","834980","834980","9","7","835278","3","500","834981","835281","835281","10","7","835778","2","4000","835281","835780","835781","9","7","839778","-7","3200","835781","842971","842971","0",841424,1,1646,"2","2","1","23","842994","2","800","842971","842996","842996","25","6","843777","-6","1200","842997","844971","844971","0",NA,"MixTaskINC","4",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive",NA,"3","4400","X",NA,"3600","2","23","844994","2","800","844972","844996","844996","25","6",845777,"1","300","844996","845778","845779","7","6","846077","2","500","845779","846079","846079","8","6","846577","2","4000","846079","846579","846579","8","5","850576","-5","3200","846580","853771","853771","0",851957,1,1381,"2","2","1","21","853792","2","800","853771","853794","853795","23","4","854575","-4","3600","853795","858171","858171","0",NA,"MixTaskINC","8",NA,NA,NA,NA,NA,NA,NA,NA,130969
"CuedTSTrialPROC","proactive1","6","proactiveBlockList","2","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive",NA,"1","2000","X",NA,"1200","2","20","858191","3","800","858173","858194","858194","23","4",858975,"1","300","858194","858976","858977","5","4","859275","2","500","858977","859277","859277","6","4","859775","2","4000","859277","859777","859777","6","3","863774","-3","3200","859778","866971","866971","0",865134,1,1360,"2","2","1","19","866990","2","800","866971","866992","866993","21","2","867773","-2","1200","866993","868971","868971","0",NA,"MixTaskINC","17",NA,NA,NA,NA,NA,NA,NA,NA,130969
"FixationOnlyPROC","proactive1","7","proactiveBlockList","2","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","868990","2","30000","868972","868992","868992","21",130969
