"Procedure","RunNumberFilterValue","reactiveBlockList","Running","reactiveBlockList.Cycle","reactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConRea1","REA1SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McConRea1","MiConRea1","PC50InConRea1","PC50ConRea1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","white","white","2","1","132017_reactive_StroopRea_run1_AudioRecord-101.wav","2100","46","626022","2","300","626001","626024","626024","48","13",626289,"1","300","626025","626290","626290","14","132017_reactive_StroopRea_run1_AudioRecord-101.wav","13","626589","3","100","626291","626592","626592","16","13","626689","2","2000","626592","626691","626691","15","12","628688","-12","2100","626691","630776","630776","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","Con","PC50","black","black",NA,"3","132017_reactive_StroopRea_run1_AudioRecord-102.wav","900","29","630805","2","300","630784","630807","630807","31","12",631088,"1","300","630807","631089","631090","13","132017_reactive_StroopRea_run1_AudioRecord-102.wav","12","631388","3","100","631090","631391","631391","15","12","631488","2","2000","631392","631490","631491","14","11","633487","-11","900","631491","634376","634376","0",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","white","white","2","1","132017_reactive_StroopRea_run1_AudioRecord-103.wav","2100","28","634404","2","300","634387","634406","634406","30","11",634687,"2","300","634407","634689","634689","13","132017_reactive_StroopRea_run1_AudioRecord-103.wav","11","634987","3","100","634689","634990","634990","14","11","635087","2","2000","634991","635089","635090","13","11","637087","-11","2100","635090","639176","639176","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","purple","purple","5","1","132017_reactive_StroopRea_run1_AudioRecord-104.wav","2100","27","639203","2","300","639182","639205","639206","29","10",639486,"2","300","639206","639488","639488","12","132017_reactive_StroopRea_run1_AudioRecord-104.wav","10","639786","3","100","639489","639789","639790","13","10","639886","3","2000","639790","639889","639889","13","10","641886","-10","2100","639889","643976","643976","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-105.wav","3300","26","644002","2","300","643983","644004","644005","28","10",644286,"1","300","644005","644287","644288","11","132017_reactive_StroopRea_run1_AudioRecord-105.wav","10","644586","3","100","644288","644589","644589","13","10","644686","2","2000","644589","644688","644688","12","9","646685","-9","3300","644688","649976","649976","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","Con","MC","red","red",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-106.wav","3300","25","650001","3","300","649983","650004","650004","28","9",650285,"1","300","650004","650286","650287","10","132017_reactive_StroopRea_run1_AudioRecord-106.wav","9","650585","3","100","650287","650588","650588","12","9","650685","2","2000","650588","650687","650687","11","8","652684","-8","3300","650688","655976","655976","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MI","white","white",NA,"2","132017_reactive_StroopRea_run1_AudioRecord-107.wav","2100","25","656001","2","300","655983","656003","656003","27","8",656284,"1","300","656003","656285","656286","9","132017_reactive_StroopRea_run1_AudioRecord-107.wav","8","656584","3","100","656286","656587","656587","11","8","656684","2","2000","656587","656686","656686","10","7","658683","-7","2100","656687","660776","660776","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","Con","PC50","green","green",NA,"3","132017_reactive_StroopRea_run1_AudioRecord-108.wav","900","24","660800","2","300","660783","660802","660802","26","7",661083,"2","300","660802","661085","661085","9","132017_reactive_StroopRea_run1_AudioRecord-108.wav","7","661383","3","100","661085","661386","661386","10","7","661483","2","2000","661386","661485","661485","9","7","663483","-7","900","661486","664376","664376","0",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","purple","purple","5","1","132017_reactive_StroopRea_run1_AudioRecord-109.wav","3300","23","664399","3","300","664392","664402","664402","26","6",664682,"2","300","664402","664684","664684","8","132017_reactive_StroopRea_run1_AudioRecord-109.wav","6","664982","3","100","664685","664985","664986","9","6","665082","3","2000","664986","665085","665085","9","6","667082","-6","3300","665085","670376","670376","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-110.wav","2100","22","670398","2","300","670382","670400","670401","24","6",670682,"1","300","670401","670683","670683","7","132017_reactive_StroopRea_run1_AudioRecord-110.wav","5","670981","3","100","670684","670984","670985","8","5","671081","3","2000","670985","671084","671084","8","5","673081","-5","2100","671084","675176","675176","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
