"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",0.883,0.883,0.844,0.804,0.844,0.804
"MC","Con",0.872,0.872,0.837,0.825,0.837,0.825
"MI","Con",0.898,0.898,0.863,0.851,0.863,0.851
"PC50","InCon",1.11,1.11,0.96,0.918,0.96,0.918
"PC50","Con",1.05,1.05,0.934,0.798,0.934,0.798
"MI","InCon",0.974,0.974,0.941,0.93,0.941,0.93
"MC","Con",0.831,0.831,0.79,0.768,0.79,0.768
"MC","Con",0.961,0.961,0.927,0.873,0.927,0.873
"MI","InCon",0.877,0.877,0.844,0.835,0.844,0.835
"MI","InCon",1.193,1.193,0.95,0.931,0.95,0.931
"MC","Con",1.007,1.007,0.974,0.962,0.974,0.962
"MC","Con",0.844,0.844,0.808,0.792,0.808,0.792
"MC","Con",1.138,1.138,1.101,1.083,1.101,1.083
"MC","Con",0.893,0.893,0.859,0.847,0.859,0.847
"MI","InCon",0.899,0.899,0.862,0.85,0.862,0.85
"PC50","InCon",0.815,0.815,0.781,0.773,0.781,0.773
"MC","Con",0.792,0.792,0.758,0.749,0.758,0.749
"MI","InCon",1.104,1.104,0.977,0.958,0.977,0.958
"MI","InCon",0.893,0.893,0.859,0.847,0.859,0.847
"MC","Con",0.911,0.911,0.874,0.782,0.874,0.782
"MI","InCon",0.887,0.887,0.85,0.837,0.85,0.837
"PC50","Con",0.809,0.809,0.77,0.751,0.77,0.751
"MI","Con",0.829,0.829,0.794,0.781,0.794,0.781
"MI","InCon",0.955,0.955,0.921,0.911,0.921,0.911
"PC50","Con",0.947,0.947,0.913,0.901,0.913,0.901
"MC","Con",0.949,0.949,0.916,0.906,0.916,0.906
"PC50","InCon",0.992,0.992,0.958,0.944,0.958,0.944
"PC50","InCon",1.117,1.117,1.084,1.07,1.084,1.07
"PC50","Con",0.776,0.776,0.742,0.723,0.742,0.723
"MI","Con",0.795,0.795,0.761,0.744,0.761,0.744
"MC","Con",0.908,0.908,0.875,0.864,0.875,0.864
