"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"MI","InCon",0.863,0.863,0.828,0.799,0.828,0.799
"MC","Con",1.039,1.039,1.003,0.988,1.003,0.988
"MI","Con",0.875,0.875,0.834,0.781,0.834,0.781
"MC","Con",1.127,1.127,1.093,1.021,1.093,1.021
"MI","InCon",0.964,0.964,0.931,0.92,0.931,0.92
"MC","Con",1.063,1.063,1.027,1.012,1.027,1.012
"MI","InCon",0.858,0.858,0.824,0.814,0.824,0.814
"MC","Con",0.911,0.911,0.878,0.867,0.878,0.867
"MC","Con",0.712,0.712,0.678,0.64,0.678,0.64
"MI","InCon",0.945,0.945,0.709,0.693,0.709,0.693
"MI","Con",0.953,0.953,0.917,0.901,0.917,0.901
"PC50","Con",1.104,1.104,1.07,1.056,1.07,1.056
"PC50","InCon",0.906,0.906,0.872,0.863,0.872,0.863
"PC50","Con",0.951,0.951,0.907,0.869,0.907,0.869
"MC","Con",1.013,1.013,0.974,0.923,0.974,0.923
"MI","InCon",0.947,0.947,0.91,0.892,0.91,0.892
"MC","Con",0.941,0.941,0.907,0.85,0.907,0.85
"MI","InCon",1.176,1.176,1.112,1.095,1.112,1.095
"MC","Con",0.82,0.82,0.786,0.774,0.786,0.774
"MC","Con",1.266,1.266,1.202,1.092,1.202,1.092
"MC","Con",0.955,0.955,0.921,0.87,0.921,0.87
"MC","Con",0.805,0.805,0.769,0.755,0.769,0.755
"MI","InCon",0.808,0.808,0.774,0.758,0.774,0.758
"MC","Con",0.961,0.961,0.919,0.841,0.919,0.841
"PC50","InCon",0.962,0.962,0.927,0.914,0.927,0.914
"MI","Con",0.889,0.889,0.855,0.844,0.855,0.844
"MC","Con",1.052,1.052,0.878,0.854,0.878,0.854
"MC","Con",0.883,0.883,0.848,0.814,0.848,0.814
"PC50","Con",0.94,0.94,0.897,0.872,0.897,0.872
"MI","InCon",1.05,1.05,1.016,1.006,1.016,1.006
"MI","InCon",0.957,0.957,0.916,0.895,0.916,0.895
"PC50","Con",0.881,0.881,0.848,0.839,0.848,0.839
"PC50","InCon",1.07,1.07,1.034,1.02,1.034,1.02
"MI","InCon",1.157,1.157,1.12,1.106,1.12,1.106
"MI","InCon",1.132,1.132,1.099,1.088,1.099,1.088
"MC","Con",0.992,0.992,0.957,0.945,0.957,0.945
"MI","InCon",0.881,0.881,0.846,0.834,0.846,0.834
"MI","InCon",1.039,1.039,1.005,0.993,1.005,0.993
"MC","Con",1.043,1.043,1.007,0.945,1.007,0.945
"MC","Con",0.814,0.814,0.762,0.7,0.762,0.7
"MC","Con",0.824,0.824,0.768,0.748,0.768,0.748
"PC50","InCon",1.081,1.081,1.048,1.035,1.048,1.035
"MI","InCon",1.025,1.025,0.991,0.98,0.991,0.98
"MC","Con",1.127,1.127,1.093,1.024,1.093,1.024
"MI","Con",1.123,1.123,1.09,1.078,1.09,1.078
"MI","Con",0.906,0.906,0.871,0.858,0.871,0.858
"MI","InCon",0.94,0.94,0.905,0.888,0.905,0.888
"MC","Con",1.282,1.282,1.249,1.192,1.249,1.192
"MC","Con",0.83,0.83,0.781,0.747,0.781,0.747
"PC50","InCon",0.855,0.855,0.82,0.804,0.82,0.804
"MC","Con",0.871,0.871,0.796,0.707,0.796,0.707
"MI","InCon",0.822,0.822,0.787,0.773,0.787,0.773
"MI","InCon",0.882,0.882,0.848,0.836,0.848,0.836
"MI","Con",0.917,0.917,0.881,0.869,0.881,0.869
"MC","Con",0.897,0.897,0.859,0.846,0.859,0.846
"PC50","Con",0.805,0.805,0.772,0.763,0.772,0.763
"PC50","InCon",0.966,0.966,0.931,0.89,0.931,0.89
"MI","Con",0.933,0.933,0.9,0.889,0.9,0.889
"MI","InCon",0.936,0.936,0.899,0.887,0.899,0.887
"MC","Con",1.132,1.132,1.094,1.053,1.094,1.053
"PC50","InCon",0.972,0.972,0.939,0.927,0.939,0.927
"MC","Con",0.897,0.897,0.856,0.84,0.856,0.84
"MC","Con",1.058,1.058,0.966,0.935,0.966,0.935
"MI","InCon",1.136,1.136,1.103,1.091,1.103,1.091
"PC50","Con",1.037,1.037,1.002,0.937,1.002,0.937
"MC","Con",1.001,1.001,0.944,0.921,0.944,0.921
"MC","Con",0.941,0.941,0.907,0.898,0.907,0.898
"MI","InCon",0.896,0.896,0.862,0.85,0.862,0.85
"MI","InCon",0.866,0.866,0.831,0.82,0.831,0.82
"MI","InCon",0.786,0.786,0.749,0.724,0.749,0.724
"PC50","Con",1.054,1.054,1.018,0.939,1.018,0.939
"MI","InCon",1.193,1.193,1.16,1.151,1.16,1.151
"MI","InCon",0.87,0.87,0.836,0.823,0.836,0.823
"MC","Con",0.88,0.88,0.845,0.753,0.845,0.753
"MC","Con",0.735,0.735,0.699,0.686,0.699,0.686
"MI","Con",0.908,0.908,0.871,0.855,0.871,0.855
"PC50","Con",0.862,0.862,0.827,0.813,0.827,0.813
"MI","InCon",0.993,0.993,0.959,0.948,0.959,0.948
"MC","Con",0.883,0.883,0.849,0.788,0.849,0.788
"MI","Con",0.742,0.742,0.708,0.697,0.708,0.697
"MI","InCon",0.971,0.971,0.938,0.925,0.938,0.925
"MC","Con",1.224,1.224,1.022,0.957,1.022,0.957
"MI","InCon",0.986,0.986,0.951,0.939,0.951,0.939
"MC","Con",0.817,0.817,0.779,0.763,0.779,0.763
"PC50","InCon",1.081,1.081,1.039,1.021,1.039,1.021
"MC","Con",0.979,0.979,0.875,0.855,0.875,0.855
"MC","Con",0.867,0.867,0.832,0.816,0.832,0.816
"MC","Con",0.978,0.978,0.859,0.838,0.859,0.838
"MC","Con",0.87,0.87,0.835,0.82,0.835,0.82
"MI","InCon",0.809,0.809,0.776,0.768,0.776,0.768
"PC50","InCon",0.89,0.89,0.857,0.847,0.857,0.847
"MI","Con",1.057,1.057,0.797,0.783,0.797,0.783
"MC","Con",0.974,0.974,0.938,0.926,0.938,0.926
"MC","Con",0.802,0.802,0.767,0.755,0.767,0.755
"MI","InCon",0.814,0.814,0.782,0.773,0.782,0.773
"MI","InCon",0.91,0.91,0.873,0.861,0.873,0.861
"MI","Con",0.812,0.812,0.779,0.77,0.779,0.77
"MI","InCon",0.821,0.821,0.787,0.776,0.787,0.776
"PC50","InCon",0.991,0.991,0.958,0.946,0.958,0.946
"MC","Con",1.125,1.125,1.09,1.076,1.09,1.076
"MC","Con",0.667,0.667,0.632,0.617,0.632,0.617
"MI","InCon",0.824,0.824,0.789,0.78,0.789,0.78
"MC","Con",1.15,1.15,1.11,1.037,1.11,1.037
"MI","InCon",0.987,0.987,0.952,0.939,0.952,0.939
"MI","InCon",0.977,0.977,0.944,0.936,0.944,0.936
"MC","Con",0.807,0.807,0.771,0.755,0.771,0.755
"PC50","InCon",1.417,1.417,1.383,1.366,1.383,1.366
"MI","Con",0.896,0.896,0.86,0.843,0.86,0.843
"MC","Con",0.952,0.952,0.917,0.884,0.917,0.884
"MI","InCon",0.993,0.993,0.954,0.939,0.954,0.939
"MC","Con",0.818,0.818,0.783,0.766,0.783,0.766
"PC50","Con",0.794,0.794,0.76,0.749,0.76,0.749
"MI","InCon",0.926,0.926,0.858,0.843,0.858,0.843
"MI","InCon",1.144,1.144,1.072,1.055,1.072,1.055
"MC","Con",1.058,1.058,1.022,1.003,1.022,1.003
"MC","Con",0.819,0.819,0.785,0.774,0.785,0.774
"PC50","InCon",1.22,1.22,1.187,1.178,1.187,1.178
"PC50","Con",0.909,0.909,0.872,0.859,0.872,0.859
"MI","InCon",1.205,1.205,1.172,1.164,1.172,1.164
"PC50","Con",0.981,0.981,0.948,0.938,0.948,0.938
"MC","Con",0.794,0.794,0.757,0.727,0.757,0.727
"MC","Con",0.886,0.886,0.842,0.821,0.842,0.821
"MC","Con",1.051,1.051,1.018,0.949,1.018,0.949
"MI","Con",0.89,0.89,0.856,0.843,0.856,0.843
"MI","InCon",1.18,1.18,1.147,1.134,1.147,1.134
"MC","Con",1.093,1.093,1.059,1.041,1.059,1.041
"MC","Con",0.786,0.786,0.727,0.702,0.727,0.702
"MC","Con",0.982,0.982,0.948,0.936,0.948,0.936
"PC50","Con",0.892,0.892,0.858,0.847,0.858,0.847
"MI","InCon",0.876,0.876,0.84,0.827,0.84,0.827
"MI","Con",0.81,0.81,0.778,0.769,0.778,0.769
"MI","InCon",1.126,1.126,1.094,1.085,1.094,1.085
"PC50","Con",0.883,0.883,0.85,0.841,0.85,0.841
"MC","Con",0.922,0.922,0.886,0.871,0.886,0.871
"MC","Con",0.936,0.936,0.872,0.857,0.872,0.857
"MI","InCon",1.049,1.049,1.017,1.008,1.017,1.008
"MC","Con",0.958,0.958,0.922,0.869,0.922,0.869
"MC","Con",1.061,1.061,1.024,0.955,1.024,0.955
"MI","InCon",1.788,1.788,1.636,1.618,1.636,1.618
"MI","InCon",0.974,0.974,0.941,0.931,0.941,0.931
"MC","Con",0.943,0.943,0.907,0.883,0.907,0.883
"PC50","InCon",0.95,0.95,0.916,0.899,0.916,0.899
"MI","InCon",1.134,1.134,1.1,1.089,1.1,1.089
"MI","InCon",0.975,0.975,0.939,0.923,0.939,0.923
"MC","Con",0.812,0.812,0.777,0.767,0.777,0.767
"MC","Con",1.126,1.126,1.093,1.034,1.093,1.034
"MI","Con",1.111,1.111,1.077,1.063,1.077,1.063
"PC50","InCon",0.963,0.963,0.929,0.916,0.929,0.916
"MC","Con",1.021,1.021,0.985,0.948,0.985,0.948
"MI","InCon",1.135,1.135,1.098,1.082,1.098,1.082
"PC50","InCon",1.038,1.038,1.004,0.995,1.004,0.995
"MC","Con",1.066,1.066,1.029,1.014,1.029,1.014
"MI","InCon",0.935,0.935,0.891,0.866,0.891,0.866
"PC50","Con",0.957,0.957,0.925,0.913,0.925,0.913
"MC","Con",0.854,0.854,0.833,0.833,0.833,0.833
"MC","Con",0.879,0.879,0.838,0.782,0.838,0.782
"MI","Con",0.897,0.897,0.864,0.853,0.864,0.853
"MI","InCon",1.055,1.055,1.021,1.011,1.021,1.011
"MC","Con",0.953,0.953,0.92,0.907,0.92,0.907
"MC","Con",0.949,0.949,0.915,0.9,0.915,0.9
"MC","Con",0.99,0.99,0.954,0.94,0.954,0.94
"MC","Con",1.273,1.273,1.235,1.194,1.235,1.194
"PC50","Con",1.36,1.36,1.328,1.318,1.328,1.318
"MI","InCon",1.141,1.141,1.109,1.098,1.109,1.098
"PC50","InCon",1.147,1.147,1.114,1.102,1.114,1.102
"MC","Con",1.149,1.149,1.112,1.085,1.112,1.085
"MI","Con",0.831,0.831,0.796,0.784,0.796,0.784
"MI","InCon",1.109,1.109,1.071,1.052,1.071,1.052
"PC50","Con",1.195,1.195,1.162,1.153,1.162,1.153
"MC","Con",0.746,0.746,0.709,0.695,0.709,0.695
"MI","InCon",0.897,0.897,0.856,0.835,0.856,0.835
"MI","Con",0.84,0.84,0.803,0.788,0.803,0.788
"PC50","Con",0.908,0.908,0.873,0.86,0.873,0.86
"MC","Con",0.882,0.882,0.79,0.777,0.79,0.777
"MC","Con",0.828,0.828,0.793,0.711,0.793,0.711
"MC","Con",0.871,0.871,0.835,0.808,0.835,0.808
"PC50","InCon",1.229,1.229,1.195,1.182,1.195,1.182
"MC","Con",0.957,0.957,0.72,0.704,0.72,0.704
"MI","InCon",1,1,0.966,0.952,0.966,0.952
"MI","Con",0.745,0.745,0.711,0.702,0.711,0.702
"MI","InCon",1.038,1.038,1.006,0.995,1.006,0.995
"MI","Con",1.02,1.02,0.958,0.933,0.958,0.933
"MC","Con",1.11,1.11,1.076,1.049,1.076,1.049
"MC","Con",0.882,0.882,0.79,0.772,0.79,0.772
"MC","Con",0.978,0.978,0.944,0.928,0.944,0.928
"PC50","Con",0.947,0.947,0.911,0.866,0.911,0.866
"PC50","InCon",0.967,0.967,0.932,0.92,0.932,0.92
"MI","InCon",0.907,0.907,0.874,0.864,0.874,0.864
"MI","Con",1.042,1.042,1.009,0.997,1.009,0.997
"MC","Con",0.896,0.896,0.861,0.836,0.861,0.836
"MC","Con",0.815,0.815,0.782,0.768,0.782,0.768
"MI","InCon",1.124,1.124,1.092,1.083,1.092,1.083
"MI","InCon",0.88,0.88,0.843,0.792,0.843,0.792
"MC","Con",1.1,1.1,0.96,0.936,0.96,0.936
"MI","InCon",1.14,1.14,1.105,1.089,1.105,1.089
"MC","Con",1.079,1.079,0.955,0.936,0.955,0.936
"PC50","InCon",0.914,0.914,0.878,0.862,0.878,0.862
"MC","Con",0.738,0.738,0.704,0.69,0.704,0.69
"PC50","Con",0.889,0.889,0.69,0.676,0.69,0.676
"MI","InCon",1.053,1.053,1.02,1.01,1.02,1.01
"MC","Con",0.74,0.74,0.706,0.693,0.706,0.693
"MI","InCon",1.131,1.131,1.098,1.088,1.098,1.088
"MC","Con",1.124,1.124,1.031,1.007,1.031,1.007
"PC50","InCon",1.307,1.307,1.274,1.261,1.274,1.261
"PC50","Con",1.133,1.133,1.099,1.086,1.099,1.086
"MI","InCon",1.084,1.084,1.049,1.033,1.049,1.033
"MI","InCon",0.954,0.954,0.917,0.895,0.917,0.895
"MC","Con",0.883,0.883,0.849,0.769,0.849,0.769
"MI","InCon",0.874,0.874,0.838,0.801,0.838,0.801
