"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ITI","ms","TRs","TestOrder","PRO2B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PRO2B2SamplingList","ToBeIncentivized","PRO2B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Number","1","1","?","?","2","2","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC",NA,"2400","1","11","312220","2","800","310624","312222","312222","13","10",313019,"2","300","312222","313021","313021","12","10","313319","2","500","313021","313321","313322","12","10","313819","2","4000","313322","313821","313822","12","10","317819","-10","3200","313822","321009","321009","0",319231,1,1412,"1","1","1","9","321018","2","800","321009","321020","321021","11","9","321818","-9","2400","321021","324209","324209","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","2","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC",NA,"2400","1","9","324218","2","800","324210","324220","324220","11","8",325017,"2","300","324220","325019","325019","10","8","325317","3","500","325020","325320","325320","11","8","325817","3","4000","325320","325820","325820","11","8","329817","-8","3200","325820","333009","333009","0",330768,1,951,"1","1","1","7","333016","2","800","333009","333018","333019","9","7","333816","-7","2400","333019","336209","336209","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Letter","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC",NA,"1200","1","23","336232","2","800","336210","336234","336235","25","7",337016,"1","300","336235","337017","337017","8","7","337316","2","500","337018","337318","337318","9","6","337815","3","4000","337318","337818","337818","9","6","341815","-6","3200","337819","345009","345009","0",342582,1,767,"1","1","1","22","345031","2","800","345009","345033","345033","24","5","345814","-5","1200","345034","347009","347009","0","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC",NA,"3600","1","22","347031","2","800","347011","347033","347033","24","5",347814,"2","300","347033","347816","347816","7","5","348114","2","500","347816","348116","348116","7","5","348614","2","4000","348116","348616","348616","7","4","352613","-4","3200","348617","355809","355809","0",353826,1,1213,"1","1","1","20","355829","2","800","355809","355831","355832","22","4","356613","-4","3600","355832","360209","360209","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC",NA,"3600","2","20","360229","2","800","360210","360231","360231","22","3",361012,"1","300","360231","361013","361014","4","3","361312","2","500","361014","361314","361314","5","3","361812","2","4000","361314","361814","361814","5","2","365811","-2","3200","361815","369009","369009","0",366712,1,901,"2","2","1","18","369027","2","800","369009","369029","369030","20","1","369810","-1","3600","369030","373409","373409","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC",NA,"3600","2","18","373427","2","800","373411","373429","373429","20","1",374210,"1","300","373429","374211","374212","2","1","374510","2","500","374212","374512","374512","3","1","375010","2","4000","374512","375012","375012","3","0","379009","0","3200","375013","382209","382209","0",380081,0,1072,"1","2","0","16","382225","2","800","382209","382227","382228","18","16","383025","-16","3600","382228","386609","386609","0","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","1","?","?","Green","Black","Green","Incentive","2","3200","X","MixTaskINC",NA,"2400","1","15","386624","3","800","386610","386627","386627","18","15",387424,"2","300","386627","387426","387426","17","15","387724","2","500","387426","387726","387727","17","15","388224","2","4000","387727","388226","388227","17","15","392224","-15","3200","388227","395409","395409","0",393489,1,1265,"1","1","1","14","395423","2","800","395409","395425","395425","16","14","396223","-14","2400","395426","398609","398609","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC",NA,"1200","1","14","398623","2","800","398610","398625","398625","16","13",399422,"2","300","398625","399424","399424","15","13","399722","2","500","399424","399724","399725","15","13","400222","2","4000","399725","400224","400225","15","13","404222","-13","3200","400225","407409","407409","0",405546,1,1324,"1","1","1","12","407421","2","800","407409","407423","407424","14","12","408221","-12","1200","407424","409409","409409","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B","Even","Consonant","Incongruent","Attend Number","1","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC",NA,"1200","1","12","409421","2","800","409410","409423","409423","14","12",410221,"1","300","409423","410222","410223","13","12","410521","2","500","410223","410523","410523","14","12","411021","2","4000","410523","411023","411023","14","11","415020","-11","3200","411024","418209","418209","0",416407,1,1387,"1","1","1","10","418219","3","800","418209","418222","418222","13","10","419019","-10","1200","418222","420209","420209","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","0","?","?","Green","Black","Green","Incentive","1","2000","X","MixTaskINC",NA,"1200","1","10","420219","2","800","420211","420221","420222","12","10",421019,"2","300","420222","421021","421021","12","10","421319","2","500","421021","421321","421321","12","10","421819","2","4000","421322","421821","421821","12","9","425818","-9","3200","421822","429009","429009","0",426798,1,980,"1","1","1","9","429018","2","800","429009","429020","429020","11","9","429818","-9","1200","429020","431009","431009","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","Even","Consonant","Incongruent","Attend Letter","1","2","?","1","1","0","?","?","Green","Black","Green","Incentive","2","3200","X","MixTaskINC",NA,"2400","2","8","431017","3","800","431010","431020","431020","11","8",431817,"2","300","431020","431819","431819","10","8","432117","2","500","431819","432119","432120","10","8","432617","2","4000","432120","432619","432620","10","8","436617","-8","3200","432620","439809","439809","0",437485,1,868,"2","2","1","7","439816","2","800","439809","439818","439818","9","7","440616","-7","2400","439819","443009","443009","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5H","Odd","Consonant","Congruent","Attend Letter","2","2","?","1","0","1","?","?","Green","Black","Green","Incentive","2","3200","X","MixTaskINC",NA,"2400","2","23","443032","2","800","443011","443034","443035","25","6",443815,"2","300","443035","443817","443817","8","6","444115","2","500","443817","444117","444118","8","6","444615","2","4000","444118","444617","444618","8","6","448615","-6","3200","444618","451809","451809","0",449411,1,796,"2","2","1","22","451831","2","800","451809","451833","451833","24","5","452614","-5","2400","451833","455009","455009","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC",NA,"1200","1","21","455030","2","800","455011","455032","455033","23","4",455813,"2","300","455033","455815","455815","6","4","456113","3","500","455816","456116","456116","7","4","456613","2","4000","456116","456615","456616","6","4","460613","-4","3200","456616","463809","463809","0",461691,1,1078,"1","1","1","20","463829","2","800","463809","463831","463831","22","3","464612","-3","1200","463832","465809","465809","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC",NA,"3600","2","20","465829","2","800","465810","465831","465831","22","3",466612,"1","300","465831","466613","466614","4","3","466912","2","500","466614","466914","466914","5","3","467412","2","4000","466914","467414","467414","5","2","471411","-2","3200","467415","474609","474609","0",472876,1,1465,"2","2","1","18","474627","2","800","474609","474629","474630","20","1","475410","-1","3600","474630","479009","479009","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1A","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC",NA,"2400","2","17","479026","3","800","479011","479029","479029","20","1",479810,"1","300","479029","479811","479812","2","1","480110","2","500","479812","480112","480112","3","1","480610","2","4000","480112","480612","480612","3","0","484609","0","3200","480613","487809","487809","0",486058,1,1449,"2","2","1","16","487825","2","800","487809","487827","487828","18","16","488625","-16","2400","487828","491009","491009","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Number","1","1","?","1","0","1","?","?","Green","Black","Green","Incentive","1","2000","X","MixTaskINC",NA,"1200","1","16","491025","2","800","491010","491027","491027","18","15",491824,"2","300","491027","491826","491826","17","15","492124","3","500","491827","492127","492127","18","15","492624","2","4000","492127","492626","492627","17","15","496624","-15","3200","492627","499809","499809","0",497495,1,871,"1","1","1","14","499823","2","800","499809","499825","499826","16","14","500623","-14","1200","499826","501809","501809","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC",NA,"3600","2","14","501823","2","800","501810","501825","501825","16","14",502623,"1","300","501826","502624","502625","15","14","502923","2","500","502625","502925","502925","16","14","503423","2","4000","502925","503425","503425","16","13","507422","-13","3200","503426","510609","510609","0",508411,1,989,"2","2","1","12","510621","3","800","510609","510624","510624","15","12","511421","-12","3600","510624","515009","515009","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","11","proactiveBlockList","2","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","0","1","?","?","Green","Black","Green","Incentive","3","4400","X","MixTaskINC",NA,"3600","1","12","515021","2","800","515010","515023","515023","14","12",515821,"1","300","515023","515822","515822","13","12","516121","2","500","515823","516123","516123","14","12","516621","2","4000","516123","516623","516623","14","11","520620","-11","3200","516624","523809","523809","0",521540,1,920,"1","1","1","10","523819","3","800","523809","523822","523822","13","10","524619","-10","3600","523822","528209","528209","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"FixationGetReadyPROC","proactive2","12","proactiveBlockList","2","39","10","528219","2","28400","528210","528221","528221","12","5","556614","2","1600","528221","556616","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","2","2","?","?","Red","Black","Black","NonIncentive","3","4400","X",NA,NA,"3600","2","5","558214","2","800","556618","558216","558216","7","5",559014,"1","300","558217","559015","559016","6","5","559314","2","500","559016","559316","559316","7","5","559814","2","4000","559316","559816","559816","7","4","563813","-4","3200","559817","567009","567009","0",564766,1,953,"2","2","1","20","567029","2","800","567009","567031","567032","22","3","567812","-3","3600","567032","571409","571409","0",NA,"1","8",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","Odd","Vowel","Incongruent","Attend Letter","2","1","?","?","0","2","?","?","Red","Black","Black","NonIncentive","2","3200","X",NA,NA,"2400","1","20","571429","2","800","571410","571431","571431","22","3",572212,"1","300","571431","572213","572214","4","3","572512","2","500","572214","572514","572514","5","3","573012","2","4000","572514","573014","573014","5","2","577011","-2","3200","573015","580209","580209","0",578730,1,1719,"1","1","1","18","580227","2","800","580209","580229","580230","20","1","581010","-1","2400","580230","583409","583409","0",NA,"1","10",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","1","0","?","?","Red","Black","Black","NonIncentive","3","4400","X",NA,NA,"3600","1","18","583427","2","800","583411","583429","583429","20","1",584210,"1","300","583429","584211","584212","2","1","584510","2","500","584212","584512","584512","3","1","585010","2","4000","584513","585012","585012","3","0","589009","0","3200","585013","592209","592209","0",591007,1,1998,"1","1","1","16","592225","2","800","592209","592227","592228","18","16","593025","-16","3600","592228","596609","596609","0",NA,"1","13",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","2","3200","X",NA,NA,"2400","1","16","596625","2","800","596610","596627","596627","18","15",597424,"2","300","596627","597426","597426","17","15","597724","2","500","597427","597726","597727","17","15","598224","2","4000","597727","598226","598227","17","15","602224","-15","3200","598227","605409","605409","0",603449,1,1225,"1","1","1","14","605423","2","800","605409","605425","605426","16","14","606223","-14","2400","605426","608609","608609","0",NA,"1","9",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Number","1","2","?","1","0","0","?","?","Green","Black","Green","Incentive","1","2000","X",NA,NA,"1200","1","14","608623","2","800","608610","608625","608625","16","14",609423,"1","300","608625","609424","609424","15","13","609722","3","500","609425","609725","609725","16","13","610222","2","4000","609725","610224","610225","15","13","614222","-13","3200","610225","617409","617409","0",615341,1,1119,"1","1","1","12","617421","2","800","617409","617423","617424","14","12","618221","-12","1200","617424","619409","619409","0",NA,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4D","Even","Consonant","Incongruent","Attend Letter","1","2","?","2","1","0","?","?","Green","Black","Green","Incentive","2","3200","X",NA,NA,"2400","2","12","619421","2","800","619411","619423","619423","14","12",620221,"1","300","619424","620222","620223","13","12","620521","2","500","620223","620523","620523","14","12","621021","2","4000","620523","621023","621023","14","11","625020","-11","3200","621024","628209","628209","0",626670,1,1650,"2","2","1","11","628220","2","800","628209","628222","628222","13","10","629019","-10","2400","628222","631409","631409","0",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","3","4400","X",NA,NA,"3600","2","10","631419","2","800","631410","631421","631421","12","10",632219,"2","300","631422","632221","632221","12","10","632519","2","500","632221","632521","632521","12","10","633019","2","4000","632522","633021","633021","12","9","637018","-9","3200","633022","640209","640209","0",637705,1,687,"2","2","1","9","640218","2","800","640209","640220","640220","11","9","641018","-9","3600","640220","644609","644609","0",NA,"1","17",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","1","2000","X",NA,NA,"1200","2","8","644617","2","800","644610","644619","644619","10","8",645417,"2","300","644620","645419","645419","10","8","645717","2","500","645419","645719","645720","10","8","646217","2","4000","645720","646219","646219","10","7","650216","-7","3200","646220","653409","653409","0",652006,1,1790,"2","2","1","7","653416","2","800","653409","653418","653418","9","6","654215","-6","1200","653418","655409","655409","0",NA,"1","16",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Number","2","2","?","1","0","1","?","?","Green","Black","Green","Incentive","1","2000","X",NA,NA,"1200","2","23","655432","2","800","655410","655434","655434","25","6",656215,"2","300","655435","656217","656217","8","6","656515","2","500","656217","656517","656518","8","6","657015","2","4000","656518","657017","657018","8","5","661014","-5","3200","657018","664209","664209","0",662386,1,1372,"2","2","1","22","664231","2","800","664209","664233","664233","24","5","665014","-5","1200","664233","666209","666209","0",NA,"1","6",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","2","3200","X",NA,NA,"2400","1","21","666230","2","800","666211","666232","666233","23","4",667013,"2","300","666233","667015","667015","6","4","667313","3","500","667016","667316","667316","7","4","667813","2","4000","667316","667815","667816","6","4","671813","-4","3200","667816","675009","675009","0",672972,1,1159,"1","1","1","20","675029","2","800","675009","675031","675031","22","3","675812","-3","2400","675031","678209","678209","0",NA,"1","14",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Number","2","2","?","?","0","0","?","?","Red","Black","Black","NonIncentive","1","2000","X",NA,NA,"1200","2","19","678228","2","800","678211","678230","678231","21","3",679012,"1","300","678231","679013","679013","4","2","679311","3","500","679014","679314","679314","5","2","679811","3","4000","679314","679814","679814","5","2","683811","-2","3200","679815","687009","687009","0",685383,0,1572,"1","2","0","18","687027","2","800","687009","687029","687029","20","1","687810","-1","1200","687030","689009","689009","0",NA,"1","15",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","1","0","?","?","Green","Black","Green","Incentive","2","3200","X",NA,NA,"2400","1","18","689027","2","800","689010","689029","689029","20","1",689810,"2","300","689029","689812","689812","3","1","690110","2","500","689812","690112","690112","3","1","690610","2","4000","690112","690612","690612","3","0","694609","0","3200","690613","697809","697809","0",695907,1,1298,"1","1","1","16","697825","2","800","697809","697827","697828","18","16","698625","-16","2400","697828","701009","701009","0",NA,"1","5",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","2","1","1","?","?","Green","Black","Green","Incentive","3","4400","X",NA,NA,"3600","2","16","701025","2","800","701010","701027","701027","18","16",701825,"1","300","701027","701826","701826","17","16","702125","2","500","701827","702127","702127","18","15","702624","3","4000","702127","702627","702627","18","15","706624","-15","3200","702628","709809","709809","0",708810,1,2186,"2","2","1","14","709823","2","800","709809","709825","709826","16","14","710623","-14","3600","709826","714209","714209","0",NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","13","proactiveBlockList","2","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","3","4400","X",NA,NA,"3600","2","14","714223","2","800","714210","714225","714225","16","13",715022,"2","300","714225","715024","715024","15","13","715322","3","500","715025","715325","715325","16","13","715822","3","4000","715325","715825","715825","16","13","719822","-13","3200","715826","723009","723009","0",720763,1,941,"2","2","1","12","723021","2","800","723009","723023","723024","14","12","723821","-12","3600","723024","727409","727409","0",NA,"1","18",NA,NA,NA,NA,NA,NA,NA,NA,36195
