"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConPro2","PRO2SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro2","MiConPro2","PC50InConPro2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","proactive2","14","proactiveBlockList","2","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","YELLOW","Con","PC50","yellow","yellow",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-69.wav","900","14","415670","2","300","415662","415672","415672","16","13",415969,"2","300","415673","415971","415971","15","132017_proactive_StroopPro_run2_AudioRecord-69.wav","13","416269","3","100","415972","416272","416273","16","13","416369","3","2000","416273","416372","416372","16","13","418369","-13","900","416372","419256","419256","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","14","proactiveBlockList","2","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-70.wav","2100","30","419286","2","300","419268","419288","419288","32","13",419569,"1","300","419288","419570","419571","14","132017_proactive_StroopPro_run2_AudioRecord-70.wav","13","419869","3","100","419571","419872","419872","16","13","419969","2","2000","419872","419971","419971","15","12","421968","-12","2100","419972","424056","424056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","14","proactiveBlockList","2","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","purple","purple","11","2","132017_proactive_StroopPro_run2_AudioRecord-71.wav","3300","45","424101","3","300","424088","424104","424104","48","12",424368,"2","300","424104","424370","424370","14","132017_proactive_StroopPro_run2_AudioRecord-71.wav","12","424668","3","100","424370","424671","424671","15","12","424768","2","2000","424671","424770","424771","14","12","426768","-12","3300","424771","430056","430056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","14","proactiveBlockList","2","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-72.wav","2100","28","430084","2","300","430062","430086","430086","30","11",430367,"2","300","430086","430369","430369","13","132017_proactive_StroopPro_run2_AudioRecord-72.wav","11","430667","3","100","430369","430670","430670","14","11","430767","2","2000","430671","430769","430770","13","11","432767","-11","2100","430770","434856","434856","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"FixationGetReadyPROC","proactive2","15","proactiveBlockList","2","75","27","434883","2","28400","434863","434885","434886","29","6","463262","2","1600","434886","463264","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","red","red","3","2","132017_proactive_StroopPro_run2_AudioRecord-73.wav","900","6","464862","2","300","463266","464864","464864","8","6",465162,"1","300","464864","465163","465164","7","132017_proactive_StroopPro_run2_AudioRecord-73.wav","6","465462","3","100","465164","465465","465465","9","6","465562","2","2000","465465","465564","465564","8","5","467561","-5","900","465564","468456","468456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","blue","blue","6","2","132017_proactive_StroopPro_run2_AudioRecord-74.wav","3300","22","468478","2","300","468471","468480","468480","24","5",468761,"2","300","468481","468763","468763","7","132017_proactive_StroopPro_run2_AudioRecord-74.wav","5","469061","3","100","468763","469064","469064","8","5","469161","2","2000","469065","469163","469164","7","5","471161","-5","3300","469164","474456","474456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","InCon","PC50","black","black",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-75.wav","900","21","474477","2","300","474462","474479","474480","23","4",474760,"2","300","474480","474762","474762","6","132017_proactive_StroopPro_run2_AudioRecord-75.wav","4","475060","3","100","474762","475063","475063","7","4","475160","2","2000","475064","475162","475163","6","4","477160","-4","900","475163","478056","478056","0",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","white","white","9","2","132017_proactive_StroopPro_run2_AudioRecord-76.wav","900","20","478076","3","300","478069","478079","478079","23","4",478360,"1","300","478079","478361","478361","5","132017_proactive_StroopPro_run2_AudioRecord-76.wav","3","478659","3","100","478362","478662","478663","6","3","478759","3","2000","478663","478762","478762","6","3","480759","-3","900","478762","481656","481656","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","InCon","PC50","yellow","yellow",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-77.wav","3300","20","481676","2","300","481668","481678","481679","22","3",481959,"2","300","481679","481961","481961","5","132017_proactive_StroopPro_run2_AudioRecord-77.wav","3","482259","3","100","481961","482262","482262","6","3","482359","2","2000","482262","482361","482361","5","3","484359","-3","3300","482362","487656","487656","0",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
