"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","BAS2SamplingList","McConBas2","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McInConBas2","PC50InConBas2","PC50ConBas2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","baseline2","12","baselineBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MC","purple","purple","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-27.wav","900","28","193197","2","300","193176","193199","193199","30","11",193480,"2","300","193199","193482","193482","13","132017_baseline_StroopBas_run2_AudioRecord-27.wav","11","193780","3","100","193482","193783","193783","14","11","193880","2","2000","193784","193882","193883","13","11","195880","-11","900","193883","196769","196769","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MC","blue","blue","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-28.wav","3300","27","196796","2","300","196779","196798","196799","29","10",197079,"2","300","196799","197081","197081","12","132017_baseline_StroopBas_run2_AudioRecord-28.wav","10","197379","3","100","197082","197382","197383","13","10","197479","3","2000","197383","197482","197482","13","10","199479","-10","3300","197483","202769","202769","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-29.wav","2100","26","202795","2","300","202775","202797","202798","28","9",203078,"2","300","202798","203080","203080","11","132017_baseline_StroopBas_run2_AudioRecord-29.wav","9","203378","3","100","203081","203381","203382","12","9","203478","3","2000","203382","203481","203481","12","9","205478","-9","2100","203481","207569","207569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-30.wav","2100","25","207594","3","300","207575","207597","207597","28","9",207878,"1","300","207597","207879","207880","10","132017_baseline_StroopBas_run2_AudioRecord-30.wav","9","208178","3","100","207880","208181","208181","12","9","208278","2","2000","208181","208280","208280","11","8","210277","-8","2100","208281","212369","212369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","InCon","PC50","green","green","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-31.wav","3300","25","212394","2","300","212375","212396","212396","27","8",212677,"2","300","212396","212679","212679","10","132017_baseline_StroopBas_run2_AudioRecord-31.wav","8","212977","3","100","212679","212980","212980","11","8","213077","2","2000","212981","213079","213079","10","8","215077","-8","3300","213080","218369","218369","0",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-32.wav","3300","24","218393","2","300","218375","218395","218395","26","7",218676,"2","300","218396","218678","218678","9","132017_baseline_StroopBas_run2_AudioRecord-32.wav","7","218976","3","100","218678","218979","218979","10","7","219076","2","2000","218980","219078","219079","9","7","221076","-7","3300","219079","224369","224369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","InCon","MC","red","red","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-33.wav","2100","23","224392","2","300","224375","224394","224394","25","6",224675,"2","300","224394","224677","224677","8","132017_baseline_StroopBas_run2_AudioRecord-33.wav","6","224975","3","100","224677","224978","224978","9","6","225075","2","2000","224979","225077","225077","8","6","227075","-6","2100","225078","229169","229169","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MC","white","white","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-34.wav","900","22","229191","2","300","229175","229193","229193","24","5",229474,"2","300","229194","229476","229476","7","132017_baseline_StroopBas_run2_AudioRecord-34.wav","5","229774","3","100","229476","229777","229778","8","5","229874","3","2000","229778","229877","229877","8","5","231874","-5","900","229877","232769","232769","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-35.wav","900","21","232790","3","300","232783","232793","232793","24","5",233074,"1","300","232793","233075","233076","6","132017_baseline_StroopBas_run2_AudioRecord-35.wav","5","233374","3","100","233076","233377","233377","8","5","233474","2","2000","233378","233476","233476","7","4","235473","-4","900","233477","236369","236369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","12","baselineBlockList","2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-36.wav","900","121","236490","2","300","236479","236492","236493","123","4",236673,"2","300","236493","236675","236675","6","132017_baseline_StroopBas_run2_AudioRecord-36.wav","4","236973","3","100","236675","236976","236976","7","4","237073","2","2000","236977","237075","237076","6","4","239073","-4","900","237076","239969","239969","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
