"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","BAS2SamplingList","McConBas2","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McInConBas2","PC50InConBas2","PC50ConBas2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","baseline2","14","baselineBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-46.wav","3300","26","311995","2","300","311975","311997","311997","28","9",312278,"2","300","311997","312280","312280","11","132017_baseline_StroopBas_run2_AudioRecord-46.wav","9","312578","3","100","312280","312581","312581","12","9","312678","2","2000","312582","312680","312680","11","9","314678","-9","3300","312681","317969","317969","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-47.wav","2100","25","317994","2","300","317975","317996","317996","27","8",318277,"2","300","317996","318279","318279","10","132017_baseline_StroopBas_run2_AudioRecord-47.wav","8","318577","3","100","318279","318580","318580","11","8","318677","2","2000","318580","318679","318679","10","8","320677","-8","2100","318680","322769","322769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-48.wav","2100","24","322793","2","300","322776","322795","322795","26","7",323076,"2","300","322795","323078","323078","9","132017_baseline_StroopBas_run2_AudioRecord-48.wav","7","323376","3","100","323078","323379","323380","10","7","323476","2","2000","323380","323478","323479","9","7","325476","-7","2100","323479","327569","327569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-49.wav","900","23","327592","2","300","327575","327594","327595","25","6",327875,"2","300","327595","327877","327877","8","132017_baseline_StroopBas_run2_AudioRecord-49.wav","6","328175","3","100","327878","328178","328179","9","6","328275","3","2000","328179","328278","328278","9","6","330275","-6","900","328278","331169","331169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","Con","PC50","black","black","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-50.wav","900","23","331192","2","300","331184","331194","331194","25","6",331475,"1","300","331194","331476","331477","7","132017_baseline_StroopBas_run2_AudioRecord-50.wav","6","331775","3","100","331477","331778","331778","9","6","331875","2","2000","331778","331877","331877","8","5","333874","-5","900","331878","334769","334769","0",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-51.wav","900","22","334791","2","300","334784","334793","334794","24","5",335074,"2","300","334794","335076","335076","7","132017_baseline_StroopBas_run2_AudioRecord-51.wav","5","335374","3","100","335077","335377","335378","8","5","335474","3","2000","335378","335477","335477","8","5","337474","-5","900","335477","338369","338369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","GREEN","InCon","PC50","black","black","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-52.wav","3300","21","338390","3","300","338382","338393","338393","24","5",338674,"1","300","338393","338675","338676","6","132017_baseline_StroopBas_run2_AudioRecord-52.wav","5","338974","3","100","338676","338977","338977","8","5","339074","2","2000","338977","339076","339076","7","4","341073","-4","3300","339076","344369","344369","0",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MC","purple","purple","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-53.wav","3300","20","344389","3","300","344375","344392","344392","23","4",344673,"1","300","344392","344674","344675","5","132017_baseline_StroopBas_run2_AudioRecord-53.wav","4","344973","3","100","344675","344976","344976","7","4","345073","2","2000","344976","345075","345075","6","3","347072","-3","3300","345075","350369","350369","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-54.wav","2100","20","350389","2","300","350375","350391","350391","22","3",350672,"1","300","350392","350673","350674","4","132017_baseline_StroopBas_run2_AudioRecord-54.wav","3","350972","3","100","350674","350975","350975","6","3","351072","2","2000","350975","351074","351074","5","2","353071","-2","2100","351075","355169","355169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-55.wav","900","19","355188","2","300","355175","355190","355190","21","2",355471,"2","300","355190","355473","355473","4","132017_baseline_StroopBas_run2_AudioRecord-55.wav","2","355771","3","100","355473","355774","355774","5","2","355871","2","2000","355775","355873","355874","4","2","357871","-2","900","355874","358769","358769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-56.wav","3300","52","358821","2","300","358805","358823","358823","54","1",359070,"2","300","358824","359072","359072","3","132017_baseline_StroopBas_run2_AudioRecord-56.wav","1","359370","3","100","359073","359373","359374","4","1","359470","3","2000","359374","359473","359473","4","1","361470","-1","3300","359473","364769","364769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-57.wav","2100","17","364786","3","300","364775","364789","364789","20","1",365070,"1","300","364789","365071","365071","2","132017_baseline_StroopBas_run2_AudioRecord-57.wav","0","365369","3","100","365072","365372","365373","3","0","365469","3","2000","365373","365472","365472","3","0","367469","0","2100","365472","369569","369569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","Con","PC50","pink","255,105,180","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-58.wav","3300","16","369585","3","300","369575","369588","369588","19","0",369869,"1","300","369588","369870","369871","1","132017_baseline_StroopBas_run2_AudioRecord-58.wav","0","370169","3","100","369871","370172","370172","3","0","370269","2","2000","370172","370271","370271","2","16","372285","-16","3300","370272","375569","375569","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","InCon","MC","blue","blue","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-59.wav","2100","32","375601","2","300","375589","375603","375604","34","15",375884,"2","300","375604","375886","375886","17","132017_baseline_StroopBas_run2_AudioRecord-59.wav","15","376184","3","100","375887","376187","376188","18","15","376284","3","2000","376188","376287","376287","18","15","378284","-15","2100","376287","380369","380369","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-60.wav","2100","15","380384","2","300","380376","380386","380387","17","15",380684,"1","300","380387","380685","380686","16","132017_baseline_StroopBas_run2_AudioRecord-60.wav","15","380984","3","100","380686","380987","380987","18","15","381084","2","2000","380987","381086","381086","17","14","383083","-14","2100","381087","385169","385169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-61.wav","2100","14","385183","3","300","385176","385186","385186","17","14",385483,"2","300","385186","385485","385485","16","132017_baseline_StroopBas_run2_AudioRecord-61.wav","14","385783","3","100","385485","385786","385786","17","14","385883","2","2000","385787","385885","385886","16","14","387883","-14","2100","385886","389969","389969","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","InCon","PC50","yellow","yellow","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-62.wav","900","13","389982","3","300","389975","389985","389985","16","13",390282,"2","300","389985","390284","390284","15","132017_baseline_StroopBas_run2_AudioRecord-62.wav","13","390582","3","100","390284","390585","390585","16","13","390682","3","2000","390586","390685","390685","16","13","392682","-13","900","390685","393569","393569","0",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","Con","PC50","black","black","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-63.wav","3300","179","393748","3","300","393723","393751","393752","182","13",393882,"1","300","393752","393883","393884","14","132017_baseline_StroopBas_run2_AudioRecord-63.wav","13","394182","3","100","393884","394185","394185","16","13","394282","2","2000","394185","394284","394284","15","12","396281","-12","3300","394284","399569","399569","0",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-64.wav","900","28","399597","3","300","399575","399600","399600","31","12",399881,"1","300","399600","399882","399883","13","132017_baseline_StroopBas_run2_AudioRecord-64.wav","12","400181","3","100","399883","400184","400184","15","12","400281","2","2000","400184","400283","400284","14","11","402280","-11","900","400284","403169","403169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MC","white","white","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-65.wav","900","28","403197","2","300","403179","403199","403199","30","11",403480,"2","300","403199","403482","403482","13","132017_baseline_StroopBas_run2_AudioRecord-65.wav","11","403780","3","100","403482","403783","403783","14","11","403880","2","2000","403784","403882","403883","13","11","405880","-11","900","403883","406769","406769","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-66.wav","3300","27","406796","2","300","406778","406798","406799","29","11",407080,"1","300","406799","407081","407081","12","132017_baseline_StroopBas_run2_AudioRecord-66.wav","11","407380","2","100","407082","407382","407383","13","10","407479","3","2000","407383","407482","407482","13","10","409479","-10","3300","407482","412769","412769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","InCon","PC50","green","green","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-67.wav","2100","26","412795","2","300","412775","412797","412798","28","10",413079,"1","300","412798","413080","413080","11","132017_baseline_StroopBas_run2_AudioRecord-67.wav","10","413379","3","100","413081","413382","413382","13","10","413479","2","2000","413382","413481","413481","12","9","415478","-9","2100","413481","417569","417569","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-68.wav","2100","26","417595","2","300","417575","417597","417597","28","9",417878,"2","300","417597","417880","417880","11","132017_baseline_StroopBas_run2_AudioRecord-68.wav","9","418178","3","100","417880","418181","418181","12","9","418278","2","2000","418181","418280","418280","11","8","420277","-8","2100","418281","422369","422369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","InCon","PC50","pink","255,105,180","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-69.wav","900","25","422394","2","300","422375","422396","422396","27","8",422677,"2","300","422396","422679","422679","10","132017_baseline_StroopBas_run2_AudioRecord-69.wav","8","422977","3","100","422679","422980","422980","11","8","423077","2","2000","422981","423079","423080","10","8","425077","-8","900","423080","425969","425969","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","InCon","MC","red","red","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-70.wav","3300","24","425993","2","300","425976","425995","425996","26","8",426277,"1","300","425996","426278","426278","9","132017_baseline_StroopBas_run2_AudioRecord-70.wav","7","426576","4","100","426279","426580","426580","11","7","426676","3","2000","426580","426679","426679","10","7","428676","-7","3300","426679","431969","431969","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","InCon","PC50","green","green","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-71.wav","2100","23","431992","2","300","431975","431994","431995","25","7",432276,"1","300","431995","432277","432277","8","132017_baseline_StroopBas_run2_AudioRecord-71.wav","7","432576","3","100","432278","432579","432579","10","7","432676","2","2000","432579","432678","432678","9","6","434675","-6","2100","432678","436769","436769","0",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","GREEN","Con","PC50","green","green","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-72.wav","3300","23","436792","2","300","436775","436794","436794","25","6",437075,"1","300","436794","437076","437077","7","132017_baseline_StroopBas_run2_AudioRecord-72.wav","6","437375","3","100","437077","437378","437378","9","6","437475","2","2000","437378","437477","437477","8","5","439474","-5","3300","437478","442769","442769","0",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"FixationGetReadyPROC","baseline2","15","baselineBlockList","2","75","22","442791","2","28400","442776","442793","442793","24","17","471186","2","1600","442793","471188","0","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","Con","PC50","yellow","yellow","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-73.wav","3300","0","472769","2","300","471190","472771","472772","2","0",473069,"2","300","472772","473071","473071","2","132017_baseline_StroopBas_run2_AudioRecord-73.wav","0","473369","3","100","473071","473372","473372","3","0","473469","2","2000","473373","473471","473472","2","0","475469","0","3300","473472","478769","478769","0",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MC","purple","purple","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-74.wav","900","16","478785","2","300","478776","478787","478788","18","16",479085,"2","300","478788","479087","479087","18","132017_baseline_StroopBas_run2_AudioRecord-74.wav","16","479385","3","100","479087","479388","479388","19","16","479485","2","2000","479388","479487","479487","18","15","481484","-15","900","479488","482369","482369","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-75.wav","3300","32","482401","3","300","482383","482404","482404","35","15",482684,"2","300","482404","482686","482686","17","132017_baseline_StroopBas_run2_AudioRecord-75.wav","15","482984","3","100","482686","482987","482988","18","15","483084","3","2000","482988","483087","483087","18","15","485084","-15","3300","483087","488369","488369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-76.wav","2100","14","488383","3","300","488375","488386","488386","17","14",488683,"2","300","488386","488685","488685","16","132017_baseline_StroopBas_run2_AudioRecord-76.wav","14","488983","3","100","488685","488986","488987","17","14","489083","2","2000","488987","489085","489086","16","14","491083","-14","2100","489086","493169","493169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","GREEN","InCon","PC50","black","black","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-77.wav","2100","14","493183","2","300","493175","493185","493185","16","14",493483,"1","300","493186","493484","493484","15","132017_baseline_StroopBas_run2_AudioRecord-77.wav","14","493783","3","100","493485","493786","493786","17","13","493882","3","2000","493786","493885","493885","16","13","495882","-13","2100","493885","497969","497969","0",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLACK","InCon","PC50","pink","255,105,180","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-78.wav","2100","30","497999","2","300","497975","498001","498001","32","13",498282,"1","300","498001","498283","498284","14","132017_baseline_StroopBas_run2_AudioRecord-78.wav","13","498582","3","100","498284","498585","498585","16","13","498682","2","2000","498585","498684","498684","15","12","500681","-12","2100","498685","502769","502769","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MC","white","white","1","3","132017_baseline_StroopBas_run2_AudioRecord-79.wav","2100","29","502798","2","300","502775","502800","502800","31","12",503081,"2","300","502800","503083","503083","14","132017_baseline_StroopBas_run2_AudioRecord-79.wav","12","503381","3","100","503083","503384","503384","15","12","503481","2","2000","503385","503483","503484","14","12","505481","-12","2100","503484","507569","507569","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","Con","PC50","black","black","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-80.wav","900","28","507597","2","300","507576","507599","507600","30","11",507880,"2","300","507600","507882","507882","13","132017_baseline_StroopBas_run2_AudioRecord-80.wav","11","508180","3","100","507883","508183","508184","14","11","508280","3","2000","508184","508283","508283","14","11","510280","-11","900","508283","511169","511169","0",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-81.wav","900","27","511196","3","300","511179","511199","511199","30","11",511480,"1","300","511199","511481","511482","12","132017_baseline_StroopBas_run2_AudioRecord-81.wav","11","511780","3","100","511482","511783","511783","14","11","511880","2","2000","511783","511882","511882","13","10","513879","-10","900","511882","514769","514769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PINK","InCon","PC50","green","green","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-82.wav","900","27","514796","2","300","514778","514798","514798","29","10",515079,"2","300","514798","515081","515081","12","132017_baseline_StroopBas_run2_AudioRecord-82.wav","10","515379","3","100","515081","515382","515383","13","10","515479","2","2000","515383","515481","515482","12","10","517479","-10","900","515482","518369","518369","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLACK","InCon","PC50","yellow","yellow","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-83.wav","3300","26","518395","2","300","518378","518397","518398","28","10",518679,"2","300","518398","518681","518681","12","132017_baseline_StroopBas_run2_AudioRecord-83.wav","10","518979","3","100","518681","518982","518982","13","10","519079","2","2000","518982","519081","519081","12","9","521078","-9","3300","519081","524369","524369","0",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-84.wav","3300","25","524394","3","300","524375","524397","524397","28","9",524678,"1","300","524397","524679","524679","10","132017_baseline_StroopBas_run2_AudioRecord-84.wav","9","524978","3","100","524680","524981","524981","12","9","525078","2","2000","524981","525080","525080","11","8","527077","-8","3300","525080","530369","530369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","16","baselineBlockList","2","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-85.wav","900","24","530393","3","300","530375","530396","530396","27","8",530677,"1","300","530396","530678","530679","9","132017_baseline_StroopBas_run2_AudioRecord-85.wav","8","530977","3","100","530679","530980","530980","11","8","531077","2","2000","530980","531079","531079","10","7","533076","-7","900","531079","533969","533969","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
