"Procedure","RunNumberFilterValue","baselineBlockList","TextVar1","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","BAS1B1SamplingList","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ToBeIncentivized","ITI","ms","TRs","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","BAS1B2SamplingList","BAS1B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"FixationGetReadyPROC","baseline1","9","?","baselineBlockList","2","20","24","346054","2","28400","346031","346056","346056","26","2","374432","2","1600","346056","374434","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Number","1","1","?","?","2","2","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","1","2","376032","2","800","374436","376034","376035","4","2",376832,"2","300","376035","376834","376834","4","2","377132","2","500","376834","377134","377134","4","2","377632","2","4000","377135","377634","377634","4","1","381631","-1","3200","377635","384830","384830","0",383028,1,1397,"1","1","1","17","384847","3","800","384830","384850","384850","20","1","385631","-1","2400","384850","388030","388030","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","0","2","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","17","388047","2","800","388032","388049","388049","19","0",388830,"2","300","388050","388832","388832","2","0","389130","2","500","388832","389132","389132","2","0","389630","2","4000","389133","389632","389632","2","16","393646","-16","3200","389633","396830","396830","0",394693,1,1047,"2","2","1","15","396845","3","800","396830","396848","396848","18","15","397645","-15","2400","396848","400030","400030","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","2","15","400045","2","800","400032","400047","400047","17","15",400845,"2","300","400048","400847","400847","17","15","401145","2","500","400847","401147","401147","17","15","401645","2","4000","401147","401647","401647","17","14","405644","-14","3200","401648","408830","408830","0",406376,1,732,"2","2","1","14","408844","2","800","408830","408846","408846","16","13","409643","-13","3600","408846","413230","413230","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","13","413243","2","800","413231","413245","413245","15","13",414043,"1","300","413246","414044","414045","14","13","414343","2","500","414045","414345","414345","15","13","414843","2","4000","414345","414845","414845","15","12","418842","-12","3200","414846","422030","422030","0",421110,1,2268,"2","2","1","11","422041","3","800","422030","422044","422044","14","11","422841","-11","1200","422044","424030","424030","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3E","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","0","1","?","?","Red","Black","Green","NonIncentive","1","1","2000","X","1200","2","11","424041","2","800","424032","424043","424044","13","11",424841,"2","300","424044","424843","424843","13","11","425141","2","500","424843","425143","425143","13","11","425641","2","4000","425144","425643","425643","13","10","429640","-10","3200","425644","432830","432830","0",431216,1,1576,"2","2","1","10","432840","2","800","432830","432842","432842","12","10","433640","-10","1200","432842","434830","434830","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","0","1","2000","X","1200","2","9","434839","3","800","434832","434842","434842","12","9",435639,"2","300","434842","435641","435641","11","9","435939","2","500","435641","435941","435942","11","9","436439","2","4000","435942","436441","436442","11","9","440439","-9","3200","436442","443630","443630","0",441422,1,983,"2","2","1","8","443638","2","800","443630","443640","443641","10","8","444438","-8","1200","443641","445630","445630","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I6","Even","Vowel","Congruent","Attend Letter","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","0","3","4400","X","3600","1","24","445654","3","800","445631","445657","445657","27","8",446438,"1","300","445657","446439","446440","9","8","446738","2","500","446440","446740","446740","10","8","447238","2","4000","446740","447240","447240","10","7","451237","-7","3200","447241","454430","454430","0",453094,1,1857,"1","1","1","23","454453","2","800","454430","454455","454456","25","6","455236","-6","3600","454456","458830","458830","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Number","2","1","?","?","1","0","?","?","Red","Black","Green","NonIncentive","1","3","4400","X","3600","2","22","458852","2","800","458832","458854","458855","24","6",459636,"1","300","458855","459637","459637","7","6","459936","2","500","459638","459938","459938","8","5","460435","3","4000","459938","460438","460438","8","5","464435","-5","3200","460438","467630","467630","0",466198,1,1763,"2","2","1","21","467651","2","800","467630","467653","467653","23","4","468434","-4","3600","467654","472030","472030","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
"CuedTSTrialPROC","baseline1","10","?","baselineBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B","Even","Consonant","Incongruent","Attend Letter","1","2","?","?","1","1","?","?","Red","Black","Black","NonIncentive","0","2","3200","X","2400","2","20","472050","2","800","472031","472052","472053","22","3",472833,"2","300","472053","472835","472835","5","3","473133","3","500","472836","473136","473136","6","3","473633","2","4000","473136","473635","473636","5","3","477633","-3","3200","473636","480830","480830","0",479763,1,2130,"2","2","1","19","480849","2","800","480830","480851","480851","21","2","481632","-2","2400","480852","484030","484030","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,100019
